claim,truth_value,topic,year_of_publish
Russia “has not lost anything” in its invasion of Ukraine.,meter-false,russia,2022
“The Russian army is withdrawing from Ukraine!” in September 2022,meter-false,russia,2022
“The U.S. & Elon Musk reveal new hypersonic jet to help Ukraine.”,meter-false,russia,2022
Joe Biden threatened to assassinate Ukraine’s former president.,tom_ruling_pof,russia,2022
"Another continent may exist beneath Antarctica, which is also home to homicidal sea creature of unknown origin",tom_ruling_pof,russia,2022
“U.S. is testing new most deadly nuclear bomb from B-1B Lancer.”,meter-false,russia,2022
The government is arming up the IRS because “Joe Biden is raising taxes and disarming Americans.”,meter-false,russia,2022
Brittney Griner is really a man.,tom_ruling_pof,russia,2022
“China threatens to shoot Nancy Pelosi’s plane down if she visits Taiwan.”,meter-false,russia,2022
“Virginia now has the most liberal abortion laws in the world.”,meter-mostly-false,russia,2022
“Biden threatens to assassinate Ukraine president.”,tom_ruling_pof,russia,2022
"The cancellation of the Keystone XL pipeline by Joe Biden “killed hundreds of jobs, sent gas prices way up.”",meter-mostly-false,russia,2022
Video shows Ukrainian air defenses in Sievierodonetsk shooting down “55 Ka 52 helicopters.”,meter-false,russia,2022
“Biden admits $5 gas is being done on purpose” and “this has been his plan all along.”,meter-false,russia,2022
“High-ranking Ukrainian officials caught splurging on luxury real estate in Switzerland.”,meter-false,russia,2022
"“Putin humiliatingly blows up all weapons and facilities"" on Snake Island by retreating Russian troops.",meter-mostly-false,russia,2022
“Belarus declares war on Poland.”,meter-false,russia,2022
“Moscow was engulfed in flames” after a giant explosion.,meter-false,russia,2022
Ukrainian “attack destroys skyscraper in Moscow.”,meter-false,russia,2022
Video shows Russian artillery tanks “completely destroyed by Bayraktar TB2 drones” on July 2.,meter-false,russia,2022
Video claims Moscow turned into “sea of fire after being attacked by two mysterious missiles.”,tom_ruling_pof,russia,2022
"""The impact of President Biden being beholden to the Green New Deal radicals in his party has electricity costs through the roof in Texas.""",meter-false,russia,2022
Three mass shootings were meant to distract from Hillary Clinton controversies.,tom_ruling_pof,russia,2022
"The Pentagon ""finally comes clean"" and ""admits...that there are 46 U.S. military-funded biolabs in Ukraine""",meter-false,russia,2022
When Joe Biden “walked into this administration … 20 million people were on unemployment insurance benefits.”,meter-false,russia,2022
“U.S. military arrests Michael Sussmann.”,tom_ruling_pof,russia,2022
Ukraine adopted “laws banning the Russian language.”,meter-false,russia,2022
A BP oil executive named Brice Cromwell blamed the Biden administration for high gas prices.,tom_ruling_pof,russia,2022
"The sale of more than 600,000 Wisconsin deer licenses shows that Wisconsin’s hunters are the “eighth largest army in the world.”",meter-false,russia,2021
Biden gave Americans “the cheapest gas prices on Earth.”,meter-false,russia,2022
"With the $53 billion spent in Ukraine aid, the U.S. “could pay five SWAT members $80,000 each and have them at EVERY school front door.”",meter-half-true,russia,2022
"CNN is recycling crisis actors in reports about a man dying in Afghanistan in 2021 and at the Uvalde, Texas, school shooting in 2022.",tom_ruling_pof,russia,2022
“J.D. Vance profits off Russia propaganda.”,meter-half-true,russia,2022
Video shows “Russian tank column totally destroyed by attack helicopter.”,meter-false,russia,2022
“Soldiers destroyed Russian tank with NLAW in ambush.”,meter-false,russia,2022
A photo of Ukrainians with paintball guns proves the war is staged.,tom_ruling_pof,russia,2022
A recent photo shows the “Russian Orthodox Church blessing a rocket called Satan.”,meter-false,russia,2022
“Your government quietly confirmed the fully vaccinated are developing Acquired Immunodeficiency Syndrome.”,tom_ruling_pof,russia,2022
“Finland joins NATO.”,meter-mostly-false,russia,2022
The NewProfilePic app is Russian spyware.,meter-false,russia,2022
Joe Biden “inherited inflation of 1.7%. Now we're well over 8% and growing.”,meter-mostly-true,russia,2022
"The Biden administration has been ""recklessly releasing potentially dangerous Afghans into our communities.""",meter-mostly-false,russia,2022
"Says video shows ""Ukrainian forces shoot down Russian plane carrying hundreds (of) troops on Kyiv airport.""",meter-false,russia,2022
“Space X’s Starlink internet constellation has angered Russia as it was reported that the Starlink satellite constellation was used to guide the fire” on the Russian ship Moskva.,meter-false,russia,2022
“The President of Ukraine owns a $35 million home in Florida and has $1.2 billion in a overseas bank account.”,meter-false,russia,2022
Images show the Ukrainian flag being replaced by the Soviet Union flag in Mariupol in 2022.,meter-false,russia,2022
"Blinken, Austin trip to Kyiv may have been staged",meter-false,russia,2022
"“War Begins — F-35, F-16 and MiG-29 NATO intercept and destroy Russia Jets in Polish air space.”",meter-false,russia,2022
Photo of unbroken windows proves war in Ukraine is fake.,tom_ruling_pof,russia,2022
Videos show that Ukraine President Volodymyr Zelenskyy uses cocaine.,tom_ruling_pof,russia,2022
A video shows the Russian warship Moskva exploding.,meter-false,russia,2022
"""America (is) trying to overthrow the Ukraine government just as the shadow government has infiltrated and overthrown the US government.""",meter-false,russia,2022
"After Russia invaded Ukraine, Google Maps “opened all military and strategic facilities in Russia.”",meter-false,russia,2022
A photo shows students in Lviv celebrating Adolf Hitler’s birthday.,tom_ruling_pof,russia,2022
"Vladimir Putin “released 35,000 children from tunnels and subway in Ukraine.”",tom_ruling_pof,russia,2022
"“While the initial increase in oil prices resulted in a near instantaneous increase in gas prices for consumers, the subsequent decrease in crude oil prices has failed to meaningfully provide relief for Georgia's families at the pump.”",meter-mostly-true,russia,2022
"Vladimir Putin “ended the Rothschild's control over Russia by nationalizing the Russian centralized bank.""",meter-false,russia,2018
"Joe Biden's spending “has sent prices skyrocketing.""",meter-half-true,russia,2022
CNN tweeted about “brave children” in Ukraine signing up to fight Russia.,tom_ruling_pof,russia,2022
March 2022 moon crash was orchestrated by the government and visible from Earth.,meter-false,russia,2022
Ukraine was responsible for the Kramatorsk train station bombing.,meter-false,russia,2022
Fuel containing 15% ethanol will ruin a car engine.,meter-mostly-false,russia,2022
Joe Biden’s comments prove that food shortages are being “done deliberately by the governments of the world.”,meter-false,russia,2022
Sen. Marsha Blackburn made a white power symbol at Ketanji Brown Jackson.,meter-false,russia,2022
Ukraine is the “money laundering and child sex trafficking capital of the world!”,meter-false,russia,2022
Poland palace that Biden visited is fake.,meter-false,russia,2022
“Mike Lee advised Trump's legal challenges to overturn our election” and “was one of only two senators who was in on the scheme.”,meter-half-true,russia,2022
Photo of injured Ukrainian woman was from 2018 Russia gas explosion.,meter-false,russia,2022
"Says Tucker Carlson said, “What if these bodies of tortured, dead civilians were staged? What if they’re fake? What if the Ukrainian military killed them & then blamed Russia? I’m not saying any of this is true, I’m just asking the questions. Why can’t we ask these questions?”",meter-false,russia,2022
The FBI lost Hunter Biden’s laptop.,meter-false,russia,2022
"Says Barack Obama tweeted, “Has anyone checked to make sure Donald Trump doesn’t have a Russian birth certificate?”",meter-false,russia,2022
“The Russian army captured the U.S Major General Roger L. Cloutier Jr. … in the besieged Ukrainian Azov camp in Mariupol.”,meter-false,russia,2022
"A video taken from a car driving through Bucha, Ukraine, shows a corpse “moving his arm,” and then “in the rear view mirror the ‘corpse’ sits down.”",meter-false,russia,2022
"Says Mike Gibbons said ""military service doesn't count as real work.""",meter-false,russia,2022
"Says Gov. Tony Evers ""tried to make us pay even more at the pump by hiking the gas tax.""",meter-half-true,russia,2022
The Strategic Petroleum Reserve has “been mostly empty” for decades.,meter-false,russia,2022
"“You go to a store, they don’t have bread.”",meter-false,russia,2022
"“Gas prices have been going up since the president’s first day in office, starting with his move to shut down the Keystone XL pipeline.”",meter-half-true,russia,2022
"“The Space Foundation has erased the honors previously bestowed on Yuri Gagarin, the first man to ever be in space. His name was stripped ‘in light of current events.’”",meter-mostly-false,russia,2022
Putin beheaded bioweapon engineers in Ukraine.,tom_ruling_pof,russia,2022
Gas prices are high “due to the Democrats’ war on fossil fuels.”,meter-mostly-false,russia,2022
The United Nations sent out an email instructing staff not to use the words “invasion” or “war’” when referring to Ukraine.,meter-half-true,russia,2022
A video shows Ukraine President Volodymyr Zelenskyy singing “Imagine” by John Lennon.,meter-false,russia,2022
"CNN staged a fire in Edmonton, Canada, and claimed it was filmed in Ukraine.",meter-false,russia,2022
“The Simpsons” predicted Russia’s invasion of Ukraine.,meter-false,russia,2022
CNN tweeted a picture of a Serbian resort and said it was in Ukraine.,meter-false,russia,2022
"""Documents were published confirming Moderna created the COVID-19 Virus.”",meter-false,russia,2022
Judge Ketanji Brown Jackson called former President George W. Bush and former Defense Secretary Donald Rumsfeld as “war criminals in a legal filing.”,meter-half-true,russia,2022
Video shows “Russian soldiers using weapons that have been in a cupboard since Soviet times.”,meter-false,russia,2022
"The Russian airstrike on a maternity hospital in Mariupol, Ukraine, had “the makings of yet another false flag operation” led by the U.S.",tom_ruling_pof,russia,2022
"“In April 1997, there was a ‘gas out’ conducted nationwide in protest of gas prices. Gasoline prices dropped 30 cents a gallon overnight.”",tom_ruling_pof,russia,2022
“Ukraine has been shooting residents of Donetsk and Lugansk just because they wanted to speak Russian.”,meter-false,russia,2022
Photos show “Ukrainian farmers are slowly starting to build their own army.”,meter-false,russia,2022
Russian President Vladimir Putin “was assassinated.”,tom_ruling_pof,russia,2022
"“Just a reminder that right before Ukraine was invaded, Hillary was found to be guilty of spying on a sitting U.S. president.”",meter-false,russia,2022
“Putin Vows to ‘Crush’ Child Traffickers in Ukraine”,meter-false,russia,2022
"A photo shows ""NATO resupplying Ukrainian farmers anti-tank supplies.""",meter-false,russia,2022
"""What is happening here is not so different from what we're seeing happening in Russia, where you have got state TV and controlled messaging across the board.""",tom_ruling_pof,russia,2022
“A West Virginia inspection sticker on an Uber” proves the car was not in Ukraine.,meter-false,russia,2022
"A recent on-air protest can’t be real because ""there are no live on air television broadcasts in Russia. None. Ever.”",meter-false,russia,2022
A video shows current “leaked footage of heavy war between Russia vs Ukraine”,meter-false,russia,2022
Comparing the price of oil and gas in June 2008 to March 2022 shows that oil companies are “price gouging.”,meter-false,russia,2022
“We haven’t seen a single American megachurch offer anything to help Ukrainians.”,meter-false,russia,2022
“Make no mistake: The current spike in gas prices is largely the fault of Vladimir Putin.”,meter-mostly-true,russia,2022
“Wladimir Klitschko has auctioned off his 1996 Atlanta Olympic Games gold medal to raise money for the children of Ukraine.”,meter-half-true,russia,2022
"A video shows “massive explosion as Ukraine destroyed 280 Russian tanks to pieces using U.S. Javelin missiles.""",meter-false,russia,2022
"“While Ukrainians bled and died, Congressman Budd excused their killer.”",meter-mostly-false,russia,2022
Deceased Ukrainian fighter pilot Col. Oleksandr Oksanchenko was the “Ghost of Kyiv.”,meter-false,russia,2022
"Vice President Kamala Harris ""was asked about gasoline prices ... and she tried to defer to President Duda, the Polish president.""",meter-false,russia,2022
A Ukrainian combat medic who died in February was seen in a video Ukraine President Volodymyr Zelensky posted of his visit to see wounded soldiers.,meter-false,russia,2022
"The U.S. military has reinstated a draft, and women are included.",tom_ruling_pof,russia,2022
"""The US has made strides in reducing carbon emissions that other parts of the world have not.""",meter-true,russia,2022
"Joe Biden's cancellation of the Keystone pipeline ""dramatically increased Americans' dependence on Russian oil.""",meter-false,russia,2022
"""Donald Trump's appeasement of Putin wasn't just a personal act of treason, it's the Republican Party's official position.""",meter-mostly-false,russia,2022
"U.S. imports 1% of its oil from Russia while “Exxon, Chevron, BP and Shell profits are at their highest level in over 7 years.”",meter-mostly-true,russia,2022
Video shows Volodymr Zelenskyy singing “Endless Love” with his wife.,meter-false,russia,2022
"Two years ago we were “drilling our own oil for $27 a barrel.” Now, thanks to Joe Biden, we’re “paying $105 a barrel to Russia.”",meter-false,russia,2022
U.S. has biological weapons labs in Ukraine.,meter-false,russia,2022
Video shows Russian President Vladimir Putin meeting with South Korea’s president.,meter-false,russia,2022
"""Gas is high because they shut down production in the U.S.” under the Biden administration.",meter-false,russia,2022
An image shows “Ukrainian soldiers praying.”,meter-false,russia,2022
“Putin bombs Biden-owned villa in Ukraine while hammering biolabs & pedophile rings.”,tom_ruling_pof,russia,2022
“Worldwide data has confirmed the vaccinated are developing COVID vaccine-induced Acquired Immune Deficiency Syndrome.”,tom_ruling_pof,russia,2022
Dr. Anthony Fauci has not spoken or appeared publicly for several weeks.,meter-false,russia,2022
"“As the world rallies around Ukraine, Mike Lee was one of only two senators to oppose sanctions on Putin. Then he flew to the Kremlin and discussed dropping sanctions. Lee even opposed arming Ukrainians fighting for their lives.”",meter-mostly-false,russia,2022
"“The former Miss Universe-Ukraine, Anastasiia Lenna, turned in her high heels for some combat boots to fight for her country.”",meter-false,russia,2022
Ukraine issued a press release about Joe Biden,meter-false,russia,2022
Video shows Ukrainian crisis actors come to life after pretending to be dead.,meter-false,russia,2022
A Ukrainian TikToker shows how to drive an abandoned Russian armored vehicle.,meter-false,russia,2022
The war in Ukraine is “scripted and staged.”,tom_ruling_pof,russia,2022
Joe Biden's sanctions on Russia “are riddled with loopholes and don't even start for 30 days. They have carve outs for the energy and financial sectors.”,meter-half-true,russia,2022
Image shows Ukrainian President Volodymyr Zelensky “has joined the front lines with his troops.”,meter-false,russia,2022
Says Sean Penn’s trip to Ukraine in November is evidence the war is staged.,meter-false,russia,2022
Says Vladimir Putin said the West is controlled by Satanic pedophiles.,meter-false,russia,2022
"""The Russian army does not occupy Ukrainian territory.""",tom_ruling_pof,russia,2022
“NEW: Biden Admin. instructs Americans to social distance and wear masks in the event of a Nuclear Fallout.”,meter-mostly-false,russia,2022
"A 2022 CNN report said, “Russia deploys two nuke bombers in US backyard, Venezuela.”",meter-false,russia,2022
Photos show Ukrainian citizens destroying two Russian tanks with Molotov cocktails in Kyiv.,meter-false,russia,2022
"Russia unveiled a nuclear weapon, ""Satan 2,"" that is ""capable of destroying everything breathing in the world.""",meter-false,russia,2022
Ukrainians altered this street sign to tell Russian troops to go “f---” themselves.,meter-false,russia,2022
Video shows Ukrainian soldiers saying goodbye to loved ones amid Russia’s 2022 invasion.,meter-false,russia,2022
"""An 8-year-old Ukrainian girl confronts a Russian soldier telling him to go back to his country.”",meter-false,russia,2022
A photo of a wounded young child was captured in Ukraine in 2022.,meter-false,russia,2022
“We have doubled our (oil) imports from Russia in the last year.”,meter-mostly-false,russia,2022
“NATO (under direction from the United States) is violating previous agreements and expanding eastward.”,meter-mostly-false,russia,2022
"The United States buys ""206,000 barrels of oil a day"" from Russia but ""shut down domestic oil production a year ago.""",meter-mostly-false,russia,2022
A photo showing young children saluting troops was captured in Ukraine in 2022.,meter-false,russia,2022
"""Hillary Clinton spied on President Trump.""",meter-false,russia,2022
"The Keystone XL pipeline ""would have produced 830,000 barrels of oil per day, more than enough to offset what we import from Russia.""",meter-half-true,russia,2022
Actor Steven Seagal spotted among Russian special forces in Ukraine,meter-false,russia,2022
Video shows a Ukrainian fighter pilot shooting down a Russian plane.,meter-false,russia,2022
Video shows footage from Russia invading Ukraine.,meter-false,russia,2022
Photo shows Empire State Building lit up to support Ukraine.,meter-false,russia,2022
"Photos show “Ukrainian Christians pray outdoors, in the snow, for their country in this phase of war danger.”",meter-half-true,russia,2022
TikTok video shows Russian soldiers parachuting into Ukraine.,meter-false,russia,2022
A 2022 video shows “Ukrainian and Russian soldiers face to face.”,meter-false,russia,2022
Ethnic Russians face “genocide perpetrated by the Kyiv regime.”,meter-false,russia,2022
Russia is targeting U.S. biological weapons labs in Ukraine invasion.,meter-false,russia,2022
A photo shows a Russian warplane under attack.,meter-false,russia,2022
"This ""footage"" shows Russia attacking Ukraine.",meter-false,russia,2022
"""Ukraine was the No. 1 donor to Hillary Clinton when she was running for president.”",meter-false,russia,2022
“Russia has never attacked anyone throughout its history.”,tom_ruling_pof,russia,2022
"Says Joe Biden risks war with Russia because Vladimir Putin doesn’t “believe in transgender rights.""",tom_ruling_pof,russia,2022
"""The latest with the Durham report is that the Clinton campaign … actually spied on the president of the United States.”",meter-false,russia,2022
"“Durham’s documents show that Hillary Clinton hired people who hacked into Trump’s home and office computers” and “planted evidence, fabricated evidence connecting Trump to Russia.”",meter-false,russia,2022
“President Trump sanctioned Russia. President Biden gave them a pipeline.”,meter-mostly-false,russia,2022
"Video shows troops at the Ukraine-Russia border on Jan. 27, 2022.",meter-false,russia,2022
Four players have dropped out of the Australian Open with “chest pains.”,meter-false,russia,2022
“People are 7% poorer now because of Biden inflation.”,meter-mostly-false,russia,2022
"Rep. Kathy Castor, D-Fla., is a communist",tom_ruling_pof,russia,2021
"""COVID-19 vaccines do not stop transmission of COVID, but instead increase it.”",meter-false,russia,2021
"Low gas prices in Russia, Kuwait and Saudi Arabia show that Joe Biden’s decision to cancel the Keystone Pipeline project is to blame for U.S. prices.",meter-false,russia,2021
Photo shows people recently protesting in Austria.,meter-false,russia,2021
Says Bill Gates is linked to the discovery of vials labeled “smallpox” at Pennsylvania lab.,meter-false,russia,2021
"“We became a net exporter of natural gas in 2017, and until recently, our exports have exceeded our imports.”",meter-half-true,russia,2021
“Farmers stand in silence at auction so a young man can buy back his family farmhouse.”,meter-false,russia,2021
“President Putin bans mandatory vaccinations in Russia.”,meter-false,russia,2021
"""Norfolk naval base has been taken by NATO.""",meter-false,russia,2021
There has been “no question of our credibility from our allies around the world” regarding how the U.S. is withdrawing from Afghanistan.,meter-half-true,russia,2021
"The U.S. is “now importing 800,000 barrels of oil from Russia,” but that could have been prevented if the Keystone XL pipeline hadn’t been cancelled.",meter-half-true,russia,2021
Says CNN and other news organizations tweeted that a journalist was executed in Kabul by Taliban fighters.,meter-false,russia,2021
"The number of children in seven countries “missing so far this year” range from 20,000 to 460,000.",meter-false,russia,2021
Says Denzel Washington left the Democratic Party because he’s “had it with the lies.”,tom_ruling_pof,russia,2021
"People with the COVID-19 vaccine are being ""tracked in real time via 5G cellular, and all that data can be hacked into to track you.""",tom_ruling_pof,russia,2021
“Gas prices highest in a decade. Worst jobs report in 2 decades. Highest inflation in 3 decades. Highest increase in illegal immigration in 4 decades.”,meter-mostly-false,russia,2021
Merriam-Webster recently changed its definition of “anti-vaxxer” to include people who oppose laws that mandate vaccination.,meter-false,russia,2021
"A video shows Kim Jong Un calling Joe Biden a ""thug,"" a ""coward,"" and ""mentally unstable"" in a speech.",tom_ruling_pof,russia,2021
"Says Joe Biden is “withholding $150 million in aid from Ukraine” to “pressure Ukraine to drop all criminal investigations into him and his son, Hunter.”",meter-false,russia,2021
"“Covid-does NOT exist AS A VIRUS,” and Russian doctors performing autopsies on deceased COVID-19 patients violate a World Health Organization law",tom_ruling_pof,russia,2021
Says Joe Biden executive orders caused price increases of 50 cents in gas and 10% in food.,meter-false,russia,2021
"""China was behind the interference and the effort to overthrow our government and the election, election fraud.""",meter-false,russia,2021
Says that the oil and gas industry comprises 35% of the Texas economy.,meter-mostly-true,russia,2020
Democrats “spent 4 years refusing to acknowledge Trump’s 2016 victory.”,meter-false,russia,2020
Photo shows Time magazine cover with Barack Obama that says “Treason.”,meter-false,russia,2020
Say a video shows “staffers stuffing ballots in flint mi”,tom_ruling_pof,russia,2020
“Leftists” sent “Proud Boys” emails threatening Democratic voters.,meter-false,russia,2020
“James Comey has 50 counts of TREASON. And John Brennan has 48 counts of TREASON.”,meter-false,russia,2020
"“Trump denies fire assistance to California because they didn't vote for him, but helped Russia with their wildfires in Siberia.”",meter-false,russia,2020
"Says President Barack Obama “spied on my campaign, and got caught!”",meter-false,russia,2020
Contractors hired by government officials to frame Donald Trump are “behind the fake news in mainstream media” and recent protests.,tom_ruling_pof,russia,2020
"Photo shows Angela Merkel, Theresa May and Dalia Grybauskaitė as teenagers.",meter-false,russia,2020
“Israel dropped a tactical nuclear weapon on the port of Beirut.”,meter-false,russia,2020
A study from the CDC and the WHO “proves face masks do not prevent the spread of a virus.”,meter-false,russia,2020
“American coronavirus vaccine killed five Ukrainians.”,meter-false,russia,2020
Says Joe Biden is formally listed as criminal suspect in Ukraine case involving his son.,meter-false,russia,2020
Says President Donald Trump “is still yet to say anything as the president of the United States about bounties on American troops.”,meter-mostly-false,russia,2020
“We have one of the lowest mortality rates in the world” from COVID-19.,meter-false,russia,2020
The President’s Daily Brief “is like a mini novel.”,meter-false,russia,2020
"Says President Trump said coronavirus testing makes the U.S. look bad, ""so I said to my people, ‘Slow the testing down.’""",meter-true,russia,2020
Zoo animals were released during protests in Chicago.,tom_ruling_pof,russia,2020
“Italian Parliament Calls For The Arrest of Bill Gates”,meter-false,russia,2020
"Says it was ""a crime for Nixon to wiretap the Democrats at Watergate but OK for Obama to wiretap Republicans at Trump Tower.”",meter-false,russia,2019
"“It’s not that there’s a virus shield between Canada (4,500 deaths) and the U.S. (80,000 deaths). What exists is a difference in leadership.”",meter-half-true,russia,2020
"“Germany and the United States are the two best in deaths per 100,000 people, which, frankly, to me, that's perhaps the most important number there is.”",meter-false,russia,2020
"Says President Barack Obama ""signed the medical appliance tax bill that forced companies to outsource manufacturing of masks, gowns, gloves and ventilaors [sic] to China, Europe and Russia to avoid the tax.”",tom_ruling_pof,russia,2020
“We’ve tested more than every country combined.”,tom_ruling_pof,russia,2020
Says a “5G LAW PASSED while everyone was distracted” with the coronavirus pandemic and lists 20 symptoms associated with 5G exposure.,meter-mostly-false,russia,2020
"Says President Donald Trump will announce that a scientist ""finally found vaccine to cure corona virus.""",tom_ruling_pof,russia,2020
Says Russia unleashed more than 500 lions on its streets to ensure that people are staying indoors during this pandemic outbreak.,tom_ruling_pof,russia,2020
“Putin has stated: Russian citizens (have) 2 options: Stay home for 15 days or in jail for 5 years.”,meter-false,russia,2020
Video shows President Donald Trump saying COVID-19 is Democrats’ “new hoax.”,meter-false,russia,2020
"Says the media cut out his request of Russian hackers to find Hillary Clinton’s emails “right at the end so that you don’t see the laughter, the joke.”",meter-false,russia,2020
"""Not once in his entire career in Washington, D.C., which started way back in 1991, has Democratic Socialist Bernie Sanders ever voted yes on sanctions against Russia.""",meter-half-true,russia,2020
Says U.S. Rep. Sean Casten “demanded the impeachment of the Republican President before the Mueller report was even released.”,meter-false,russia,2020
"""Vice President Biden threatened a foreign country and forced them to fire a prosecutor who was investigating a company,"" that paid his son Hunter.",meter-false,russia,2020
"Says President Donald Trump’s hold on Ukraine aid was like when ""the Obama administration withheld $585 million of promised aid to Egypt in 2013 ... (and within the  fiscal year) they didn't have to disclose the halt to anyone.""",meter-mostly-false,russia,2020
"""The Democrat controlled House never even asked John Bolton to testify.""",meter-false,russia,2020
"""The missiles that were launched at American forces in Iraq from Iran, were funded by Barack Obama, with American tax dollars.""",meter-false,russia,2020
There have been 317 criminal indictments under three recent Republican presidents and only three indictments under three recent Democratic presidents.,meter-half-true,russia,2019
"Says Bill Clinton ""gave nukes to North Korea,"" Barack Obama ""gave nukes to Iran,"" and Hillary Clinton ""gave uranium to Russia.""",meter-false,russia,2019
Says a video shows Iranian rockets being launched toward U.S. airbases in Iraq.,meter-false,russia,2020
Says a video shows Iranian rockets being launched toward a U.S. air base in Iraq.,meter-false,russia,2020
"Says the Democratic leadership and presidential candidates ""are mourning the loss of (Qassem) Soleimani""",tom_ruling_pof,russia,2020
"""Iran will be shooting at our soldiers with bullets, etc., purchased with the $150 billion Obama gave them.""",meter-mostly-false,russia,2020
"Says the California congressional district he represents ""has a higher GDP than Russia.""",meter-false,russia,2019
"Says the New York Times reported that Hillary Clinton and George Soros ""paid (a) woman to accuse Trump of sexual attack.""",meter-false,russia,2019
"Says President Donald Trump ""has not given this Congress a single email, phone record or document.""",meter-mostly-true,russia,2019
"""Ukraine blatantly interfered in our election.""",meter-false,russia,2019
"Says a photo shows an old Christmas tradition of women apologizing ""to their husbands for all the mistakes they made during the year and beg for forgiveness.""",meter-false,russia,2019
"""The Inspector General’s report now makes clear that the FBI launched an intrusive investigation of a U.S. presidential campaign on the thinnest of suspicions.""",meter-mostly-false,russia,2019
"Says the Clinton Foundation ""gave ONLY $5 million to charities, spent $85 million for their salaries & travels and KEPT the rest = $87 million"" in 2014.",meter-false,russia,2019
"Says former Ukraine President Petro Poroshenko ""actively worked for Secretary Clinton.""",meter-false,russia,2019
"""The Ukrainian government just indicted the Burisma gas company & named Hunter Biden for accepting millions of dollars from a slush fund.""",meter-false,russia,2019
"""Everywhere Marie Yovanovitch went turned bad,"" including Somalia and Ukraine.",tom_ruling_pof,russia,2019
"Says ""Russia donated 0$ to Donald Trump. Russia donated 145.000.000$ to the Clinton Foundation.""",meter-false,russia,2019
"Says Democrats ""spent $40,000,000 of YOUR tax dollars trying to impeach Trump.""",meter-false,russia,2019
"""The Russians are violating all of the rules, treaties, understandings that they committed to that actually kept the peace in Europe for nearly 70 years.""",meter-mostly-true,russia,2019
"President Donald Trump's phone call with the Ukrainian president ""sounds exactly like what Joe Biden did.""",meter-false,russia,2019
"Says Jeb Bush tweeted ""Ok boomer"" at Donald Trump.",meter-false,russia,2019
"Says CNN called Abu Bakr al-Baghdadi an ""unarmed father of three.""",tom_ruling_pof,russia,2019
"Says Hillary Clinton ""paid for a Russian dossier to win an election,"" her husband ""made $500k for a Russian speech,"" ""sold 20% of US Uranium to Russia"" and her foundation ""received $150M from Russia.""",meter-mostly-false,russia,2019
"""Barack Obama put a permanent stop on this military aid to the Ukraine - he never allowed it to go.""",meter-mostly-false,russia,2019
A photo shows a man grabbing a woman’s rear while watching the Apollo 8 launch in 1968.,meter-false,russia,2019
"""When my father became commander in chief of this country, we got out of all international business.""",tom_ruling_pof,russia,2019
"""The Kurds are much safer right now.""",meter-false,russia,2019
"Says Attorney General William Barr tweeted that the US ""gave Iran USA taxpayer dollars"" so Iran could purchase uranium from Russia.",tom_ruling_pof,russia,2019
"""Fact: Joe Biden pressured Ukraine to fire its prosecutor .... Fact: the prosecutor said he was forced out for leading a corruption probe into Hunter Biden's company. Fact: Democrats want to impeach President Trump for discussing this investigation with Ukraine's President.""",meter-false,russia,2019
"Says the sons of Nancy Pelosi, Mitt Romney and John Kerry are all on the boards of ""energy companies doing business in Ukraine.""",meter-false,russia,2019
"Says Nancy Pelosi’s ""legislative aide … is from the Ukraine and is connected to the Ukrainian Embassy, the Ukrainian military, the Ukrainian government and Ukrainian party life""",meter-false,russia,2019
"""Barack Obama asked Ukraine to investigate his political rival's campaign manager, 3 Democrat senators asked Ukraine to investigate Trump, and the DNC solicited Ukraine's help to dig up dirt on Trump.""",meter-mostly-false,russia,2019
"""A lot of people are talking about"" the removal of a ""very fair prosecutor"" in Ukraine.",meter-false,russia,2019
"""80% of the world’s population lives in countries where religious liberty is in significant danger or even completely outlawed.""",meter-half-true,russia,2019
"""ICE has not deported or detained one white illegal immigrant.""",meter-false,russia,2019
"Says John Bolton ""fundamentally was a man of the left.""",tom_ruling_pof,russia,2019
Says actor Tim Allen wrote a lengthy anti-Democrat attack on Facebook.,meter-false,russia,2019
"Crimea ""was sort of taken away from President Obama. … And he wanted Russia to be out of what was called the G-8. And that was his determination.""",meter-mostly-false,russia,2019
"""The U.S. now leads the world in producing both oil and natural gas, and at the same time reducing energy-related emissions.""",meter-half-true,russia,2019
"""We made a ridiculous deal (with Iran). We gave them $150 billion. We gave them $1.8 billion, and we got nothing.""",meter-mostly-false,russia,2019
"Says President Barack Obama made it ""legal"" for the media to ""purposely lie"" to the public when he ""quietly signed into law HR 4310 in 2012.""",meter-false,russia,2019
"""There’s a hacking conference that’s held every year in Las Vegas, where I think a 14- or 15-year old-girl from Florida hacked into a replica of Florida’s election system in less than 15 minutes.""",meter-mostly-false,russia,2019
"""The United States is the ONLY industrialized country without universal healthcare.""",meter-true,russia,2019
"A video of Mark Zuckerberg shows him talking about controlling ""billions of people’s stolen data"" to control the future.",tom_ruling_pof,russia,2019
"Says Donald Trump's claim that ""there was insufficient evidence and therefore, in our country, a person is innocent"" directly contradicts Special Counsel Robert Mueller’s statement.",meter-mostly-true,russia,2019
"Ohio ""thought that our (voting) machines were so awful we got rid of them, but South Carolina bought them. This is true. South Carolina bought all the machines we got rid of because they were not effective.""",meter-false,russia,2019
