,claim,truth_value,year_of_publish,month_of_publish,day_of_publish
2850,"During the recession, ""the consumer in his native perversity has begun to save. The savings rate is now 6.2 percent.""",meter-true,2010,August,1
2851,"Cicilline ""continues to accept hundreds of thousands of dollars in lobbyist, corporate PAC and insider money to fund his campaign.""",meter-mostly-false,2010,July,15
2852,"Georgia is ""the Saudi Arabia of pine trees.""",meter-mostly-false,2010,July,20
2853,Twenty-two million jobs were created during Clinton’s two terms but only 3 million during Bush’s.,meter-true,2010,July,14
2854,"""The War in Afghanistan is officially the longest war Americans have ever been asked to endure.""",meter-true,2010,June,10
2855,"""Today, we have two Vietnams, side by side, North and South, exchanging and working.""",meter-false,2010,July,15
2856,"""We're not engaged in nation-building"" in Afghanistan.",meter-mostly-true,2010,July,18
2857,"Russ Feingold ""voted against the law that protected our lakes"" and ""was the only Great Lakes senator to vote no.""",meter-mostly-false,2010,July,14
2858,"""Forty cents of every dollar being spent by the federal government is being borrowed from my children.""",meter-true,2010,June,28
2859,"""We're spending $1 trillion a year on our foreign policy.""",meter-true,2010,July,5
2860,"Under President George W. Bush, the U.S. had ""52 months of ... uninterrupted job creation"" and ""revenues were at an all-time high in 2007.""",meter-mostly-true,2010,July,11
2861,"""Sen. McConnell offered a fully paid two-month extension of unemployment insurance.""",meter-true,2010,July,1
2862,"""He (Kirk) did violate Pentagon rules, twice actually, for improperly mingling politics with his military service.""",meter-true,2010,July,8
2863,"""In Rick Perry's Texas, the governor threatens to leave, to secede from the greatest country in the"" world.",meter-false,2010,June,25
2864,"John McCain ""began his career in Washington as a lobbyist when he was appointed in 1976 as the Navy's liaison to the United States Senate.""",meter-mostly-true,2010,June,14
2865,Democrats say Chafee wants to tax equipment that enables amputee veterans to drive,meter-true,2010,July,23
2866,"""Today, we have more boots on the ground near the Southwest border than at any time in our history.""",meter-mostly-true,2010,July,1
2867,"""West has raised $2 million from those that would leave our beaches in ruins, end Social Security and Medicare, and give corporations free reign.""",meter-false,2010,June,28
2868,"""In the last 6 years, there have been 420 elections for State Senator and State Representative. Only three incumbents have been defeated!""",meter-true,2010,June,23
2869,"With his decision on whether to fire Gen. Stanley McChrystal, President Obama ""has to fix yet another problem he inherited from the Bush administration.""",meter-false,2010,June,22
2870,"Under President George W. Bush, ""the national debt went from $5 trillion to $12 trillion.""",meter-false,2010,June,22
2871,"""Phoenix, Arizona, I'm told, is now the No. 2 kidnapping capital in the world, right behind Mexico City.""",meter-false,2010,June,11
2872,"John McCain ""voted against the tax cuts of 2001 and 2003, wrongly claiming they helped only the rich.""",meter-mostly-true,2010,June,4
2873,"""Bill White has a long history of trying to limit or even disenfranchise military voters.""",meter-mostly-true,2010,June,4
2874,"The final pitch of Don Larsen's perfect game in the 1956 World Series ""was a foot and half probably high and outside.""",meter-mostly-true,2010,June,6
2875,"Presidents Hoover, Truman and Eisenhower collectively ordered the deportation of at least 15 million illegal aliens.",meter-false,2010,June,9
2876,"Once the U.S. government signs a U.N. treaty on conventional arms, ""all U.S. citizens will be subject to those gun laws created by foreign governments.""",meter-false,2010,June,3
2877,"Halliburton defrauded American taxpayers of ""hundreds of millions of dollars in Iraq.""",meter-mostly-true,2010,June,6
2878,"""Barbara Boxer's worried about the weather"" instead of terrorism as the biggest threat to national security.",meter-false,2010,June,2
2879,"""The president has added close to 68,000 troops in the last year, since he came into office, not just the 30,000 you hear, but the others that were added before that.""",meter-true,2010,May,30
2880,"Says he was ""a Marine during Vietnam.""",meter-mostly-false,2010,May,25
2881,Says Gov. Rick Perry is “spending Texans’ hard-earned money to live like Louie XIV.”,meter-false,2010,May,20
2882,"The Republican Party ""fought very hard in the '60s to get the civil rights bill passed, as well as the voting rights bill.""",meter-true,2010,May,23
2883,Halliburton gave Dick Cheney a $34 million payout when he left the company to join the presidential ticket.,meter-true,2010,May,20
2884,"In Afghanistan ""the (military) leadership has proposed a new medal, an award for 'Courageous Restraint' ... for 'NOT FIRING BACK.' """,meter-mostly-true,2010,May,16
2885,"The president can ""authorize the killing of a U.S. citizen who fights for a foreign terrorist organization.""",meter-mostly-true,2010,May,6
2886,"The Treaty of Tripoli signed by President John Adams was ""his outreach to Muslims.""",meter-mostly-true,2010,April,19
2887,"""If you will go look up the definition of 'act of God,' we've used it in legal terms for a long time in this state.""",meter-true,2010,May,4
2888,"Says he said last year there's ""absolutely no reason"" for Texas to secede.",meter-mostly-true,2010,April,15
2889,"""The Health Care and Education Reconciliation Act is the largest-ever investment in higher education.""",meter-mostly-false,2010,April,7
2890,"When the United States ""first created the federal income tax, frankly, nobody below a million dollars a year paid anything.""",meter-false,2010,April,8
2891,"Rubio's ""got more experience than Obama had.""",meter-mostly-false,2010,April,7
2892,"""Florida Statutes require (Attorney General Bill) McCollum to consult with members of Florida's Congressional delegation"" before filing a lawsuit against the health care reform law.",meter-mostly-true,2010,March,25
2893,"""The video doesn't show the broader picture of the firing that was going on at American troops.""",meter-mostly-true,2010,April,11
2894,"""President Obama himself attempted to filibuster Justice Alito, who now sits on the Supreme Court.""",meter-true,2010,April,11
2895,"Obama said troops ""whine about bearing the costs"" of going to war.",meter-false,2010,April,9
2896,"""The most private question on this year’s form asks for an individual’s race, and that question has been asked by every census since the 1790 census conducted under then-President George Washington.""",meter-mostly-true,2010,April,1
2897,"""On the day that (the Republican) state leader resigned in disgrace, a ‘Shred-It' truck rolled up to Republican headquarters.""",meter-true,2010,March,23
2898,"""The spillover violence (from Mexico) in Texas is real and it is escalating.""",meter-mostly-false,2010,March,17
2899,"""War for the soul of the TxDems: 57% of Dem incumbents for Tx House LOST their primary.""",meter-mostly-false,2010,March,10
2900,"The health care reform bill ""is the largest tax increase in U.S. history.""",meter-false,2010,March,24
2901,"The Iraq war has been ""our longest war.""",meter-false,2010,March,22
2902,"A national poll found that among people who oppose the Democratic health care reform bill, ""almost 40 percent"" opposed it not because it goes too far, but because ""they don’t think it goes far enough. ... They will not be unhappy when we pass health care reform.""",meter-mostly-true,2010,March,16
2903,"People ""can't go fishing anymore because of Obama.""",meter-false,2010,March,9
2904,"My ""border security efforts have led to a 60 percent decrease in border crime.""",meter-false,2010,March,10
2905,"""The economy began its nose dive when Democrats took control of Congress in January 2007.""",meter-false,2010,March,9
2906,"Several times, Obama ""has apologized for what he deems to be American arrogance, dismissiveness, and derision; for dictating solutions, for acting unilaterally ... .""",meter-false,2010,March,2
2907,“Bill White ...offered sanctuary to illegal immigrants.”,meter-false,2010,February,20
2908,Says the Texas State Board of Education is considering eliminating references to Christmas and the Constitution in textbooks.,meter-false,2010,March,10
2909,"""Obama has proposed a 1.4% pay increase for active duty military in 2011. This is THE LOWEST SINCE 1973 ... A LOWER PAY INCREASE THAN WELFARE RECIPIENTS!!!""",meter-mostly-false,2010,March,10
2910,"""Todd Staples recently tried to woo his supporters and right-wing base by suggesting the Agriculture Commission cut programs intended to feed the elderly and disabled, many of whom are veterans.""",meter-mostly-false,2010,March,1
2911,"Reconciliation was used ""for tax cuts for the rich twice under Bush.""",meter-mostly-true,2010,March,3
2912,"""He (Obama) has done several things well. Most of those things are places where he changed his view from where he had during the campaign. So, for instance, he's left our troops in Iraq and they're being more successful there. He boosted our effort in Afghanistan, which is the right course to take. He did not close Guantanamo, thank heavens.""",meter-false,2010,March,2
2913,"U.S. Rep. Alan Grayson ""compared a former vice president to a vampire ... and compared America's health care system to the Holocaust.""",meter-mostly-true,2010,February,26
2914,"In 2001, former Federal Reserve chairman Alan Greenspan ""justified increasing spending and cutting taxes, saying that we didn't really need to pay down the debt.""",meter-mostly-false,2010,February,25
2915,"President Barack Obama's ""initial response when we heard about the Christmas underwear bomber"" was to say that ""this was the act of an isolated extremist.""",meter-mostly-true,2010,February,14
2916,"Franklin Roosevelt never allocated more than 12 percent of GDP to federal spending, while the percentage for Barack Obama is not projected to drop below 22.8 percent.",meter-mostly-false,2010,February,8
2917,"""Federal employees are making twice as much as their private counterparts.""",meter-false,2010,January,31
2918,"""Thomas Jefferson created the Marines for the Islamic pirates that were happening.""",meter-mostly-true,2010,January,29
2919,"""What were the old annual deficits under Republicans have now become the monthly deficits under Democrats.""",meter-false,2010,January,29
2920,"""The amount of debt is on pace to double in five years and triple in 10. The federal debt is now over $100,000 per household.""",meter-mostly-true,2010,January,27
2921,"""At the beginning of the last decade ... America had a budget surplus of over $200 billion. By the time I took office, we had a one-year deficit of over $1 trillion and projected deficits of $8 trillion over the next decade.""",meter-mostly-true,2010,January,27
2922,"The ""pay-as-you-go law ... was a big reason why we had record surpluses in the 1990s.""",meter-mostly-true,2010,January,27
2923,"Democratic presidents ""have been considerably more effective at creating private-sector jobs.""",meter-true,2010,January,21
2924,"In Massachusetts, Scott Brown's Republican affiliation is ""not a secret, but clearly not on display.""",meter-mostly-true,2010,January,19
2925,Obama's job approval rating is up.,meter-mostly-true,2010,January,17
2926,"When President Bush took office in 2001, he inherited a $236 billion budget surplus, with a projected 10-year surplus of $5.6 trillion. When he ended his term, he left a $1.3 trillion deficit and a projected 10-year shortfall of $8 trillion.",meter-mostly-true,2010,January,15
2927,"""No Democratic campaign for (Fla.) governor has ever had these kinds of resources this early on in an election cycle.""",meter-true,2010,January,6
2928,Says Land Commissioner Jerry Patterson threatened to shoot him.,meter-false,2010,January,11
2929,"The Obama administration ""raised discretionary spending by 24 percent from President George W. Bush's last full-year budget and will run up more debt by October than Bush did in eight years.""",meter-mostly-true,2010,January,10
2930,"A recent Obama executive order could ""lead to a number of investigations by Interpol in the United States, potentially aimed at American officials.""",meter-false,2010,January,4
2931,"""Why is January 8th an important date in American history? This day in 1835 is the only day in our history when we have not been in debt.""",meter-mostly-true,2010,January,8
2932,"""We had no domestic attacks under Bush.""",meter-false,2010,January,8
2933,"President Obama ""doesn't ... want to admit we're at war.""",meter-false,2009,December,30
2934,"President Obama has ""the worst ratings of any president at the end of his first year.""",meter-mostly-true,2009,December,16
2935,"""In the past year, more than 20 percent of Americans have changed their mind about the war in Afghanistan. They conclude we shouldn't be there.""",meter-mostly-false,2009,November,30
2936,"""We're going to have more troops (in Afghanistan) . . . than the Russians had.""",meter-mostly-false,2009,December,2
2937,"Less than 10 percent of Obama's Cabinet appointees ""have any experience in the private sector.""",meter-false,2009,November,30
2938,"A new Republican litmus test ""would have resulted in (the GOP) kicking out Ronald Reagan.""",meter-mostly-true,2009,November,23
2939,"""If you want to talk firsts for Bush, this was the first time in American history that a president took us into a war and cut taxes.""",meter-mostly-true,2009,November,29
2940,The Senate health care bill is longer than Tolstoy's 'War and Peace.',meter-mostly-false,2009,November,19
2941,"The health care bills will be ""mandated spending. You can't cut it, regardless of the budget circumstances.""",meter-mostly-true,2009,November,10
2942,"""Barack Obama won't even use the term 'war on terrorism.'""",meter-true,2009,November,9
2943,"""History tells us that job growth always lags behind economic growth.""",meter-true,2009,November,6
2944,"A president must ""obtain Congress' consent before formally accepting the Nobel Prize.""",meter-mostly-false,2009,October,26
2945,"""President Bush never did one interview with the New York Times during his entire presidency.""",meter-false,2009,October,22
2946,"When White House communications director Anita Dunn said that Mao Tse-tung was ""one of her favorite philosophers, only Fox News picked that up.""",meter-false,2009,October,23
2947,"A request for ""an increase in troops sat on desks in this White House (during the presidency of George W. Bush), including the vice president's, for more than eight months, a resource request filled by President Obama in March.""",meter-true,2009,October,22
2948,"""Democrats rang up a $1.42 trillion budget deficit in 2009 — the single largest in American history.""",meter-mostly-true,2009,October,19
2949,"The Obama White House is renaming Christmas trees ""holiday trees.""",meter-false,2009,October,14
2950,"Under the Hate Crimes bill, ""any pastor, preacher, priest, rabbi or imam who gives a sermon out of their moral traditions about sexual practices could be found guilty of a federal crime.""",meter-false,2009,October,8
2951,"After Fahrenheit 9/11 came out, ""Bush's approval rating never was better, it only got worse.""",meter-mostly-false,2009,September,29
2952,"""The Defense Department received only one-half of 1 percent of the nearly trillion-dollar stimulus package funding.""",meter-mostly-true,2009,September,23
2953,"The Obama administration is ""cutting back on defense""",meter-mostly-true,2009,September,22
2954,"""Our own National Security Agency says that (Iran's) nuclear ambitions are advancing, and at the same time ... we are slashing our own nuclear arsenal.""",meter-mostly-true,2009,September,22
2955,"""The Obama Administration's own White House Council of Economic Advisers has estimated 4.7 million Americans will lose their jobs if the (health care) bill passes.""",meter-false,2009,August,31
2956,"Van Jones signed a petition indicating he ""thinks the Bush administration blew up the World Trade Center and covered it up.""",meter-mostly-true,2009,September,3
2957,"""Since World War II, only Gerald Ford and Bill Clinton have had worse ratings after seven months than President Obama.""",meter-true,2009,August,30
2958,"Under President George W. Bush, the U.S. ""spent $1.3 trillion on tax cuts for the wealthy"" and ""trillions"" each on a war and on Medicare drug benefits.",meter-mostly-true,2009,August,2
2959,"""Under the new and little known 'global justice' initiative,"" the Obama administration has ordered FBI agents to ""read Miranda Rights to high-value terrorist detainees captured on the battlefield.""",meter-mostly-true,2009,July,7
2960,"""The ACLU has filed a suit to have all military cross-shaped headstones removed.""",meter-false,2009,June,25
2961,"During a town hall meeting on health care, ""ABC didn't even allow ads that opposed the president's health care plan to be aired.""",meter-true,2009,June,24
2962,"Every year tobacco kills more Americans than did World War II — more than AIDS, cocaine, heroin, alcohol, vehicular accidents, homicide and suicide combined.",meter-true,2009,June,18
2963,"""Medicare and Medicaid are the single biggest drivers of the federal deficit and the federal debt by a huge margin.""",meter-mostly-true,2009,June,24
2964,"""Yes, this would be the same congressman (Rep. Pete Hoekstra) who last year Tweeted the whereabouts of a top-secret mission to Iraq.""",meter-false,2009,June,18
2965,"The war spending bill ""actually spends more money on the International Monetary Fund than on the war.""",meter-mostly-false,2009,June,17
2966,"""Why do we have automatic citizenship upon birth? We're the only country in the world that has it.""",meter-false,2009,June,10
2967,"Pay-as-you-go ""is the principle that helped transform large deficits into surpluses in the 1990s.""",meter-mostly-true,2009,May,7
2968,"""The Geneva Convention did not apply, until 2005, to the war on terror.""",meter-mostly-true,2009,April,26
2969,"""Already we've identified $2 trillion in deficit reductions over the next decade.""",meter-mostly-false,2009,April,14
2970,"""More than 90 percent of the guns recovered in Mexico come from the United States.""",meter-mostly-true,2009,April,16
2971,"""President Obama is actually increasing Bush-era defense spending by $21 billion in the new fiscal year.""",meter-mostly-true,2009,April,8
2972,"""2008 was the deadliest year of the war (in Afghanistan) for American forces.""",meter-true,2009,March,27
2973,"Obama's budget plan would ""take national debt up to about 80 percent of gross national product. ... Historically, it's been about 40 percent.""",meter-true,2009,March,25
2974,"""As a percentage of gross domestic product, we are reducing nondefense discretionary spending to its lowest level since the '60s, lower than it was under Reagan, lower than it was under Clinton, lower than it was under Bush, or both Bushes.""",meter-mostly-false,2009,March,24
2975,"""Last week the Blue Chip Economic Indicators came out that surveys lots of private forecasters. Almost all of them are predicting a turnaround in the third quarter and positive growth in the fourth quarter.""",meter-true,2009,March,15
2976,"""In just one month, the Democrats have spent more than President Bush spent in seven years on the war in Iraq, the war in Afghanistan and Hurricane Katrina combined.""",meter-false,2009,February,27
2977,"""We are making the largest investment in education in our nation’s history.""",meter-true,2009,February,17
2978,"""The president's plan, even after the end of its withdrawal timeline is reached, will leave in place up to 50,000 U.S. troops.""",meter-false,2009,February,27
2979,"""Putting three Republicans in my Cabinet...is unprecedented.""",meter-true,2009,February,9
2980,"On attacks by Republicans that various programs in the economic stimulus plan are not stimulative, ""If you add all that stuff up, it accounts for less than 1 percent of the overall package.""",meter-mostly-true,2009,February,3
2981,"The Senate version of the economic stimulus package includes ""millions of dollars to World War II Filipino veterans in the Philippines.""",meter-mostly-true,2009,February,1
2982,"Bush's tax cuts for high earners ""have been the biggest contributor to the budget deficit.""",meter-false,2009,January,8
2983,"""For my energy plan, my economic plan, and the other proposals you'll hear tonight, I've offered spending cuts above and beyond their cost.""",meter-mostly-false,2008,October,29
2984,"McCain is ""selectively editing Joe Biden's words...Biden actually said about Barack Obama: 'They're gonna find out this guy's got steel in his spine.'""",meter-mostly-false,2008,October,27
2985,"""Obama says Iran is a 'tiny' country, 'doesn't pose a serious threat.'""",meter-false,2008,October,28
2986,"Says Obama wants to redesign the American flag ""to better offer our enemies hope and love.""",meter-false,2008,October,25
2987,"""Barack Obama thinks terrorists just need a good talking to.""",meter-false,2008,October,21
2988,"""(Bill) Ayers and Obama ran a radical education foundation together.""",meter-false,2008,October,9
2989,"""Obama held one of the first meetings of his political career in Bill Ayers's home. And they've worked together on various projects in Chicago.""",meter-mostly-true,2008,October,6
2990,"""John McCain voted against funding the troops because of . . . a timeline in it to draw down American troops.""",meter-true,2008,October,2
2991,"""You had supported John McCain's military strategies pretty adamantly until this race.""",meter-mostly-false,2008,October,2
2992,"John McCain said ""he wouldn't even sit down with the government of Spain, a NATO ally that has troops in Afghanistan with us now.""",meter-mostly-false,2008,October,2
2993,"Barack Obama ""pays for every dime"" of his spending plans.",meter-mostly-false,2008,September,26
2994,"McCain ""said the other day that he would not meet potentially with the prime minister of Spain, because he . . . wasn't sure whether they were aligned with us.""",meter-mostly-true,2008,September,26
2995,"John McCain ""has threatened extinction for North Korea and sung songs about bombing Iran.""",meter-mostly-true,2008,September,26
2996,"""The average South Korean is 3 inches taller than the average North Korean, a huge gulag.""",meter-true,2008,September,26
2997,"""In January, I outlined a plan to help revive our faltering economy, which formed the basis for a bipartisan stimulus package that passed the Congress.""",meter-mostly-false,2008,September,16
2998,"McCain ""voted to cut education funding, against accountability standards. He even proposed abolishing the Department of Education.""",meter-mostly-false,2008,September,9
2999,"Sarah Palin was repeating ""Abraham Lincoln's words"" in discussing the war in Iraq.",meter-mostly-true,2008,September,11
3000,"""The Books Sarah Palin tried to have banned.""",meter-false,2008,September,8
3001,"""My grandfather came home from ... (World War II) exhausted from the burdens he had borne, and died the next day.""",meter-true,2008,September,4
3002,"""For four days in Denver, the Democrats were afraid to use the words 'Islamic terrorism.'""",meter-mostly-false,2008,September,3
3003,"Senate Majority Leader Harry Reid ""said, quote, 'I can't stand John McCain.' """,meter-true,2008,September,3
3004,"""He was offered medical care for his injuries if he would give up military information in return. John McCain said, 'No.' """,meter-false,2008,September,2
3005,"Obama voted ""to cut off funding for our American troops on the battlefield.""",meter-mostly-false,2008,September,2
3006,"Joe Biden ""voted against the first Gulf War. He opposed the surge. He wanted to partition Iraq.""",meter-true,2008,August,31
3007,"When Sarah Palin was in government, Barack Obama was a community organizer.",meter-false,2008,August,30
3008,"""John McCain has voted with George Bush 90 percent of the time.""",meter-true,2008,August,28
3009,"Three years ago, John McCain said, ""Afghanistan — we don't read about it anymore in papers because it succeeded.""",meter-true,2008,August,27
3010,McCain voted 19 times against a minimum-wage increase.,meter-true,2008,August,27
3011,"The U.S. energy policy is to ""borrow money from China to buy oil from countries that don't like us.""",meter-mostly-true,2008,August,26
3012,"The Bush administration's latest plans for troop withdrawal from Iraq by 2011 are ""more or less the same time frame I announced two years ago.""",meter-mostly-true,2008,August,21
3013,"Says McCain once said that on ""the most important issues of our day, I've been totally in agreement and support of President Bush.""",meter-true,2008,August,23
3014,Obama wants to increase the size of government by 23 percent.,meter-false,2008,August,20
3015,"Says McCain ""supported George Bush's policies 95 percent of the time.""",meter-mostly-true,2008,August,23
3016,"""I argued for years that we need to move from a 'Musharraf policy' to a 'Pakistan policy.' """,meter-mostly-false,2008,August,19
3017,"""Sen. McCain was already turning his sights to Iraq just days after 9/11, and he became a leading supporter of an invasion and occupation of (Iraq).""",meter-true,2008,August,19
3018,"Barack Obama has ""pledged to reduce the size of the military.""",meter-false,2008,August,1
3019,"The musical Mamma Mia! has ""been selling out for years.""",meter-true,2008,August,14
3020,"""First, he (Obama) opposed the surge. Then he confidently predicted that it would fail. Then he tried to prevent funding for the troops who carried out the surge.""",meter-mostly-true,2008,August,11
3021,"""Sen. McCain would occupy Iraq indefinitely, against their wishes.""",meter-false,2008,July,23
3022,"Obama ""shunned the opportunity to talk to soldiers to thank them for their service.""",meter-false,2008,July,22
3023,Says Obama flip-flopped on withdrawing troops from Iraq.,meter-false,2008,July,24
3024,"Obama ""voted against critical resources: no to individual body armor, no to helicopters, no to ammunition, no to aircraft.""",meter-mostly-false,2008,July,23
3025,"""We now have a pro-American president in France, which shows if you live long enough, anything can happen in this world.""",meter-mostly-true,2008,July,21
3026,McCain has switched to Obama's position on more troops to Afghanistan.,meter-true,2008,July,19
3027,"""For at least a year now, I have called for two additional brigades, perhaps three.""",meter-true,2008,July,20
3028,"Obama ""voted against funding our troops.""",meter-mostly-true,2008,July,18
3029,"""We've heard talk about curbing our use of fossil fuels in nearly every State of the Union address since the oil embargo of 1973.""",meter-mostly-true,2008,July,11
3030,"""I have a perfect voting record from organizations like the Veterans of Foreign Wars, the American Legion and all the other veterans service organizations.""",meter-false,2008,July,7
3031,"Barack Obama wants to ""unilaterally disarm our nation.""",meter-false,2008,May,21
3032,John McCain has given erratic and inconsistent answers on when troops should return from Iraq.,meter-mostly-false,2008,July,9
3033,"U.S. forces in Iraq and Afghanistan include a ""few thousand that are still green card holders who are not even citizens of this country.""",meter-true,2008,July,11
3034,"Barack Obama has ""reversed"" on his commitment ""to begin withdrawing American troops from Iraq immediately.""",meter-false,2008,July,3
3035,"""Our National Guard, as we saw in the Midwest flooding, can't function as effectively as it could. I was talking to National Guard representatives. Fifteen of their 17 helicopters in this region were overseas during the flooding.""",meter-false,2008,June,25
3036,"""The Iranians continue – in the view of every objective observer – continue to pursue the acquisition of nuclear weapons.""",meter-false,2008,June,24
3037,John McCain has changed position on invading Iraq.,meter-mostly-false,2008,June,22
3038,McCain tells of a fellow Vietnam POW who was beaten for fashioning an American flag that became an inspirational symbol to fellow POWs.,meter-true,2008,May,18
3039,"""These steps (a middle-class tax cut, national health care plan, foreclosure prevention fund, Social Security fix and more) are all paid for.""",meter-mostly-false,2008,June,16
3040,"We're borrowing money from China and Saudi Arabia ""to finance this war"" in Iraq.",meter-mostly-true,2008,May,13
3041,"""George Bush, and a Republican Congress, have presided over a 55 percent increase in the size of domestic government spending in the last seven years.""",meter-mostly-true,2008,June,17
3042,"Sen. Obama wants to ""enact the single largest tax increase since the Second World War.""",meter-false,2008,June,10
3043,"Obama said he would ""stand with the Muslims should the political winds shift in an ugly direction.""",meter-false,2008,May,19
3044,"""Casualties and deaths are at (their) lowest point since literally the beginning"" of the war.",meter-mostly-true,2008,June,2
3045,"When the United States invaded Iraq, Saddam Hussein wanted to acquire weapons of mass destruction, and ""he said so himself after his capture.""",meter-true,2008,June,4
3046,"""Ronald Reagan met with Gorbachev; Kennedy met with Khruschev; and Nixon met with Mao — and these were folks who have done horrendous damage not only to their own countries but to other countries.""",meter-mostly-true,2008,May,20
3047,"""John McCain decided to stand with George Bush 95 percent of the time (last year).""",meter-true,2008,June,3
3048,"""We have drawn down to presurge levels. Basra, Mosul and now Sadr City are quiet and it's long and it's tough and there will be setbacks.""",meter-mostly-false,2008,May,29
3049,"""Sen. Obama has been to Iraq once.""",meter-true,2008,May,28
3050,"""I had an uncle ... who was part of the first American troops to go into Auschwitz and liberate the concentration camps.""",meter-mostly-true,2008,May,26
3051,"It doesn't make sense ""historically"" to drop out because the 1968 race was still competitive when ""Bobby Kennedy was assassinated in June in California.""",meter-mostly-false,2008,May,23
3052,"Iran ""might not be a superpower, but the threat the government of Iran poses is anything but 'tiny,'"" as Obama says.",meter-false,2008,May,19
3053,"""Sen. Obama has declared, and repeatedly reaffirmed his intention to meet the president of Iran without any preconditions.""",meter-true,2008,May,19
3054,"""NATO hasn't provided enough troops (in Afghanistan) because they are still angry about us going into Iraq.""",meter-true,2008,May,13
3055,"John McCain ""is one of the few senators of either party who oppose this bill (to expand education aid for veterans) because he thinks it's too generous.""",meter-mostly-false,2008,May,12
3056,"McCain ""voted against a bill to ban waterboarding, and then applauded President Bush for vetoing that ban.""",meter-mostly-true,2008,April,5
3057,"""Obama himself voted against funding our nation's veterans and troops in the field during a time of war.""",meter-mostly-true,2008,May,12
3058,"""For what we spend in just one week in Iraq, 800,000 children could get health insurance for an entire year.""",meter-mostly-true,2008,April,29
3059,"Obama thinks the national anthem should be ""I'd Like to Teach the World to Sing.""",meter-false,2008,April,23
3060,"The Rev. Wright compared ""the United States Marine Corps with Roman legionnaires who were responsible for the death of our Savior.""",meter-mostly-true,2008,April,27
3061,"Rev. Wright said ""that al-Qaida and the American flag were the same flags.""",meter-mostly-false,2008,April,27
3062,"Obama ""supports hate-crimes expansion ... potentially putting churches at risk if they preach the truth about homosexuality.""",meter-false,2008,March,26
3063,"""As a state senator, he (Obama) even refused to support a measure to stop sex businesses from opening near schools or places of worship!""",meter-true,2008,March,26
3064,"""I have never said that I don't wear flag pins or refuse to wear flag pins.""",meter-false,2008,April,16
3065,"After Reagan took office, ""we didn't raise taxes and we didn't cut entitlements. What we did was we cut taxes.""",meter-mostly-false,2008,April,9
3066,"Obama served on a board with former Weather Underground member William Ayers and ""that relationship with Mr. Ayers on this board continued after 9/11.""",meter-true,2008,April,16
3067,"""Among his (Obama's) pet projects is a bill ... which would commit the U.S. to spending 0.7 percent of gross national product on foreign aid.""",meter-false,2008,March,26
3068,"Obama supports ""teaching schoolchildren — in 2nd grade, no less — about homosexual relationships.""",meter-mostly-false,2008,March,26
3069,"""I actually started criticizing the war in Iraq before (Obama) did.""",meter-false,2008,April,5
3070,"Obama ""has no experience or background at all in national security affairs.""",meter-false,2008,April,3
3071,"""Iraq is costing each household about $100 a month.""",meter-true,2008,March,20
3072,"""I remember landing under sniper fire.""",meter-false,2008,March,17
3073,"John McCain and George W. Bush want to spend ""a trillion dollars in Iraq over the next 10 years.""",meter-mostly-true,2008,March,5
3074,Obama says Clinton in 2002 suggested there was a connection between al-Qaida and the Iraqi government.,meter-true,2008,March,11
3075,"""I've been standing up against ... the Chinese government over women's rights and standing up for human rights.""",meter-mostly-true,2008,March,5
3076,"""I negotiated open borders to let fleeing refugees into safety from Kosovo.""",meter-mostly-false,2008,March,5
3077,"""We are bogged down in a war that John McCain now suggests might go on for another 100 years.""",meter-false,2008,February,26
3078,"""John McCain says it's okay with him if the U.S. spends the next thousand years in Iraq.""",meter-true,2008,February,25
3079,Says Clinton did not read the National Intelligence Estimate before voting for the Iraq war.,meter-true,2008,March,1
3080,"Barack Obama said in 2004 ""that he basically agreed with the way George Bush was conducting the war.""",meter-mostly-true,2008,February,26
3081,"Obama ""suggested bombing Pakistan.""",meter-false,2008,February,20
3082,The DNC says McCain flip-flopped on whether the Iraq War would be easy.,meter-mostly-true,2008,February,14
3083,"""Everything I have said (on the campaign trail) has been factually accurate.""",meter-false,2008,February,7
3084,"""One man sacrificed for his country. One man opposed a flawed strategy in Iraq. One man had the courage to call for change. One man didn't play politics with the truth. One man stands up to the special interests.""",meter-true,2008,February,6
3085,"""George Bush sent people to war without body armor.""",meter-mostly-true,2008,January,31
3086,"John McCain has said the economy is ""not his strong suit.""",meter-true,2008,February,1
3087,"Hillary Clinton ""agreed with (John McCain) on voting for the war in Iraq.""",meter-true,2008,January,30
3088,"Mitt Romney wants ""to set a date for withdrawal"" from Iraq.",meter-mostly-false,2008,January,26
3089,"""Let's not blame President Bush for all of this. We've got a Congress who sat around on their hands and done nothing but spend a lot of money ... leaving us $9-trillion in debt that we're passing on to our grandchildren.""",meter-mostly-true,2008,January,30
3090,"""Now, I also support the Bush tax cuts. Sen. McCain voted against them originally. He now believes they should be made permanent. I'm glad he agrees they should be made permanent.""",meter-true,2008,January,24
3091,"Hillary Clinton wants to ""wave the white flag of surrender and set a date for withdrawal.""",meter-mostly-true,2008,January,24
3092,"""Bill Clinton's peace dividend . . . cut the military 25 and 30 percent.""",meter-mostly-true,2008,January,24
3093,"Says McCain was a ""Hanoi Hilton songbird"" who collaborated with the enemy.",meter-false,2008,January,15
3094,"""The fact is it's not amnesty.""",meter-true,2008,January,5
3095,"Barack Obama ""said in 2004 there was no difference between (Obama) and George Bush on the war.""",meter-mostly-true,2008,January,8
