,claim,truth_value
3529,"We are fighting fascism, there is none in Ukraine. They walk with swastikas and, thank God, that's how it should be - Putin",meter-true
3530,"In Ukraine, you cannot go against that part of the people that considers itself a part of the Russian world, and they launched a war against them, and we all suffered.",meter-true
3531,Russia's goal is to protect people in Ukraine - Putin,meter-true
3532,"The resources of Western countries are not on the verge of being exhausted, mainly Soviet weapons are supplied to Ukraine, we used all of them, we used them, this equipment is close to being used up - Putin",meter-true
3533,"If the Ukrainian military-industrial complex has not been zeroed out, it is rapidly moving towards it, its own base will not remain, and ours is only growing - Putin",meter-true
3534,Russia takes into account and estimates how many weapons are left in warehouses in Ukraine - Putin,meter-true
3535,"The aggressor is Russia, but we get money for transit. They take money, money does not smell - Putin about Ukraine",meter-true
3536,Putin was the one who was interested in the transit of gas through Ukraine and blew up Nord Stream,meter-true
3537,We will be able to destroy the Patriot air defense system if it is delivered to Ukraine - Putin,meter-true
3538,"In the military operation in Ukraine, we are acting in favor of the citizens of Russia — Putin",meter-true
3539,The purpose of the special operation in Ukraine is to put an end to the criminal Nazi regime in Kyiv - Medvedev,meter-true
3540,Putin instructed Shoigu to introduce from 12:00 on January 6 to 24:00 on January 7 a ceasefire along the entire line of combat of the parties in Ukraine,meter-true
3541,There are no prospects for peace talks with Ukraine.,meter-true
3542,"The FSB reported the detention of a resident of Tver, who intended to go to Ukraine to fight against the Russian army",meter-true
3543,The man was passing data on the location of Russian military equipment to Ukraine,meter-true
3544,"Only a lazy person does not call for negotiations regarding Ukraine, but the USA comes out and says: ""it's not time"" - Lavrov",meter-true
3545,The Ministry of Foreign Affairs of Poland called on all Polish citizens who are in Ukraine to leave the country urgently,meter-true
3546,"Maksym Galkin called for an end to the war ""From early in the morning in contact with relatives and friends from Ukraine! Words cannot convey what I feel! How is this all possible! There can be no excuses for war! No war!""",meter-true
3547,State Duma Speaker Vyacheslav Volodin appealed to the citizens of Ukraine not to participate in the mobilization and to ask their loved ones who serve in the armed forces of Ukraine to lay down their arms.,meter-true
3548,NATO said it is deploying additional defense forces in the eastern direction due to the conflict in Ukraine,meter-true
3549,"There are no American diplomats left in Ukraine, there are no plans to return them to the country yet, reports CNN.",meter-true
3550,The daughter of Putin's advisor Maria Yumasheva went to a rally in London against the war in Ukraine friendly fire?,meter-true
3551,"The latest figures from the UN: at least 25 civilians died during the attack on Ukraine, at least 100,000 people left their places of residence.",meter-true
3552,"The authorities of Ukraine release former military prisoners to participate in hostilities, the Prosecutor General's Office reports.",meter-true
3553,"The USA will provide Ukraine with humanitarian aid in the amount of almost 54 million dollars, Blinken said.",meter-true
3554,Negotiations with Russia have begun. Ukraine's first condition at the negotiations is an immediate ceasefire and troop withdrawal,meter-true
3555,"Abramovich is currently in Minsk, conducting ""real negotiations"" on ending Russia's war with Ukraine, Ksenia Sobchak reports with reference to sources.",meter-true
3556,"The White House does not specify whether it supports the call for Ukraine to join the EU, but states that this issue should be decided by the Europeans.",meter-true
3557,"The governor of the Stavropol region laid out the letter Z folded into a St. George's ribbon ""I support our troops, who are currently conducting a special operation in Ukraine. I support the President of Russia.""",meter-true
3558,"In a conversation with Sholtz, Zelenskyi stated the need to close the airspace over Ukraine and called for speeding up work on the country's admission to the EU",meter-true
3559,"The government of the Czech Republic has approved the free transfer of weapons and ammunition worth about $731,000 to Ukraine.",meter-true
3560,The State Duma session began with a minute of silence in memory of Russian soldiers killed in Ukraine.,meter-true
3561,"According to journalist Hristo Grozev, Russia demands from Ukraine: 1) Appoint Yury Boyk as Prime Minister 2) Recognize the LDNR and Crimea 3) Reject NATO Zelensky flatly refused.",meter-true
3562,The Ukrainian delegation arrived by helicopter for the third round of negotiations with Russia in the Bialowieza Forest.,meter-true
3563,France does not consider it possible to consider the application of Ukraine to join the European Union in conflict conditions.,meter-true
3564,The President of Ukraine Zelensky published a video in which he visits the injured Ukrainian soldiers,meter-true
3565,"White House: Biden will speak with Xi Jinping tomorrow, discuss events in Ukraine and bilateral relations",meter-true
3566,The neutral status of Ukraine and its failure to join NATO are topics on which Moscow and Kyiv have brought their positions as close as possible to the negotiations.,meter-true
3567,LDPR submitted to the State Duma a project on the recognition of the genocide of Russians in Ukraine - RIA Novosti,meter-true
3568,"The Belgorod governor reported shelling from the Ukrainian side of the village of Nekhotiyivka, residential buildings and personal vehicles were damaged",meter-true
3569,"Ukrainian telegram channels report three explosions in Odesa. The ""air alarm"" signal sounded in the city.",meter-true
3570,"Indonesia military ready for operation to free NZ pilot, if talks fail, article with image",meter-true
3571,"NEWSMAKER Al Qaeda's new leader Adel has $10 million bounty on his head, article with image",meter-true
3572,"Ukraine war: major developments since Russia's invasion, article with image",meter-true
3573,"Russia declares battlefield gains as Ukraine urges faster military aid, article with gallery",meter-true
3574,"IMF revises Congo's 2022 growth up to 8.5%, rebel conflict a concern, article with image",meter-true
3575,"Rebels in Indonesia's Papua say images show abducted NZ pilot in good health, article with video",meter-true
3576,"African artists show support for east Congo conflict at music festival, article with gallery",meter-true
3577,"Peru's Boluarte vows to crush 'narcoterrorism' after deadly police ambush, article with gallery",meter-true
3578,"Colombia, ELN rebels resume peace talks in Mexico after ceasefire confusion, article with gallery",meter-true
3579,"Stand-off with minority Serbs holds back Kosovo 15 years after independence, article with gallery",meter-true
3580,"Kosovo Albanian-Serb tensions simmer on independence anniversary, article with image",meter-true
3581,"Philippines' Marcos open to a troop pact with Japan, article with image",meter-true
3582,"Syria's White Helmets 'answering all calls' to save lives after quake, article with image",meter-true
3583,"Colombia to establish areas for armed groups as part of peace process, article with image",meter-true
3584,"Malaysia PM vows to facilitate peace talks in restive southern Thailand, article with gallery",meter-true
3585,"North Korea shows off largest-ever number of nuclear missiles at nighttime parade, article with video",meter-true
3586,"Analysis: Earthquake in Syria offers leverage to isolated Assad, article with gallery",meter-true
3587,"Russia: NATO involvement in Ukraine threatens 'unpredictable' escalation, article with image",meter-true
3588,"Analysis: Swiss neutrality on the line as arms-for-Ukraine debate heats up, article with gallery",meter-true
3589,"Colombia unveils four-year development plan worth nearly $250 bln, article with image",meter-true
3590,"Protect, advance women for a better South Sudan, pope says, article with gallery",meter-true
3591,"Pope offers 'wings to your hope' to displaced children in South Sudan, article with video",meter-true
3592,"Pope implores South Sudan's leaders to end bloodshed, recriminations, article with video",meter-true
3593,"Shun ethnic rivalry and corruption, pope tells African youth, article with video",meter-true
3594,"Explainer: Why has peace eluded South Sudan?, article with gallery",meter-true
3595,"Zelenskiy wants tougher Europe, Putin evokes victory over Nazis, article with video",meter-true
3596,"Explainer: Why U.S. seeks closer security cooperation with the Philippines, article with gallery",meter-true
3597,"Former Wagner commander says he is sorry for fighting in Ukraine, article with video",meter-true
3598,"Ukraine's Zelenskiy calls for more EU sanctions on Russia, article with image",meter-true
3599,"Pope hears harrowing tales of Congo violence and says: 'Enough!', article with video",meter-true
3600,"'Hands off Africa,' Pope Francis tells rich world, article with video",meter-true
3601,"Explainer: What is driving the violence in eastern Congo?, article with gallery",meter-true
3602,"Explainer: Why are there protests in Peru and what comes next?, article with gallery",meter-true
3603,"Defence chiefs of U.S., S.Korea vow to step up drills to counter North, article with gallery",meter-true
3604,"Violence in Colombia falls in first month of ceasefire, article with image",meter-true
3605,"Colombia's attorney general says he will not drop extradition warrants, article with image",meter-true
3606,"Biden says no F-16s for Ukraine as Russia claims gains, article with video",meter-true
3607,"Analysis: Israel and Palestinians risk deeper conflict in a distracted world, article with gallery",meter-true
3608,"Odds 'very high' of U.S. military conflict with China, top Republican says, article with gallery",meter-true
3609,"Italy's Eni signs $8 billion Libya gas deal as PM Meloni visits Tripoli, article with gallery",meter-true
3610,"Colombia cocaine seizures break record in 2022, article with image",meter-true
3611,"Lebanese MPs denounce top prosecutor's moves against judge probing port blast, article with gallery",meter-true
3612,"Analysis: Lebanese elite bury blast probe, pushing fragile state closer to edge, article with gallery",meter-true
3613,"Israeli troops kill 7 Palestinian gunmen, 2 civilians in Jenin clash, Palestinians say, article with video",meter-true
3614,"Colombia must strengthen rule of law, state presence in areas hit by violence -UN, article with gallery",meter-true
3615,"Migrant wreck off Libya kills eight with scores rescued, Red Crescent says, article with gallery",meter-true
3616,"South Africa defends planned military drills with Russia and China, article with gallery",meter-true
3617,"Russia says Ukraine storing arms at nuclear plants, Kyiv denies claim, article with image",meter-true
3618,"Colombia killings of social leaders hit record in 2022 -ombudsman, article with gallery",meter-true
3619,"Canada says Cameroon warring parties agree to enter peace process, article with gallery",meter-true
3620,"Factbox: Iran's Revolutionary Guards: from military operations to business empire, article with image",meter-true
3621,"New German defence minister says he will strengthen army, help Ukraine, article with image",meter-true
3622,"Analysis: Hamas sees West Bank as battleground with new Israel gov't, article with gallery",meter-true
3623,"Analysis: Germany's new defence minister faces pressure on tanks, army upgrade, article with gallery",meter-true
3624,"Congolese president says M23 rebels have not withdrawn as agreed, article with gallery",meter-true
3625,"After 30 years, Italy arrests mafia boss Messina Denaro at Sicilian hospital, article with video",meter-true
3626,"UN envoy encouraged by Yemen truce deal efforts, warns against 'piecemeal approach', article with image",meter-true
3627,"Rescue hopes fade after Russian attack on Dnipro, article with video",meter-true
3628,"Analysis: Wagner Group boss courts Putin with Ukrainian battlefield success, article with gallery",meter-true
3629,"Britain to send 14 of its main battle tanks to Ukraine, article with video",meter-true
3630,"Syrian foreign minister: No normal ties with Turkey without end to occupation, article with image",meter-true
3631,"Puma fighting vehicle to return to key NATO mission in first half of 2023 - Berlin, article with gallery",meter-true
3632,"Assad says Turkey talks must be based on ending 'occupation', article with image",meter-true
3633,"Peru families mourn protest dead after worst violence in decades, article with video",meter-true
3634,"Russia appoints top soldier Gerasimov to oversee Ukraine campaign, article with gallery",meter-true
3635,"Nobel Prize body knew Kissinger's 1973 Vietnam deal unlikely to bring peace, documents show, article with gallery",meter-true
3636,"Turkish court convicts doctor of terrorism propaganda, releases her from jail-rights groups, article with gallery",meter-true
3637,"Russia is now fighting NATO in Ukraine, top Putin ally says, article with gallery",meter-true
3638,"Congo M23 rebels hand back army base amid suspected ceasefire breaches elsewhere, article with gallery",meter-true
3639,"New U.S. sanctions target supply of Iranian drones to Russia, article with image",meter-true
3640,"U.N. internal report flags east Congo rebels flouting ceasefire and withdrawal deal, article with gallery",meter-true
3641,"Emirati FM meets Syria's Assad in Damascus in further sign of thawing ties, article with gallery",meter-true
3642,"Colombia suspends ceasefire with ELN after rebel group rejects effort, article with gallery",meter-true
3643,"Syria opposition uneasy after Turkish, Syrian defence ministers meet, article with image",meter-true
3644,"Russians furious at commanders over Ukrainian rocket strike that killed scores, article with video",meter-true
3645,"Colombia's ELN rebels say they have not agreed to ceasefire, article with image",meter-true
3646,"Muscovites mark muted New Year without fireworks, hope for peace, article with gallery",meter-true
3647,"Russia attacks Ukraine along frontline from north to south, article with video",meter-true
3648,"Putin expects China's Xi to visit soon, Xi holds his line on Ukraine, article with video",meter-true
3649,"Putin and Xi to speak by video link on Friday, article with image",meter-true
3650,"Key architect of Michigan governor kidnapping plot sentenced to over 19 years in prison, article with video",meter-true
3651,"Ringleader in plot to kidnap Michigan governor sentenced to 16 years in prison, article with video",meter-true
3652,"Putin says Russia ready to negotiate over Ukraine, Kyiv says Moscow doesn't want talks, article with image",meter-true
3653,"King Charles' first Christmas message as monarch, article with gallery",meter-true
3654,"Russian politician files legal challenge over Putin's reference to Ukraine ""war"", article with image",meter-true
3655,"Putin says Russia wants end to war in Ukraine, article with video",meter-true
3656,"Exclusive: US says Russia's Wagner Group bought North Korean weapons for Ukraine war, article with image",meter-true
3657,"Invoking World War Two, Zelenskiy tells Congress aid is not charity, article with video",meter-true
3658,"Putin says no limit on financial support for Russia's armed forces, article with image",meter-true
3659,"Palantir lands 75 million pound deal with British military, article with image",meter-true
3660,"Senator wants review of U.S. security assistance to Nigeria following abortion report, article with gallery",meter-true
3661,"Russian 'kamikaze' drones hit Kyiv, Putin has talks in ally Belarus, article with video",meter-true
3662,"Putin and Lukashenko dwell on cooperation, not Ukraine war, after summit, article with video",meter-true
3663,"Colombia ELN leftist guerrilla group declares Christmas ceasefire, article with gallery",meter-true
3664,"Indonesia president supports plan to scale back troops in restive Papua, article with image",meter-true
3665,"Self-exiled Philippine communist leader Sison dies at 83, article with gallery",meter-true
3666,"Explainer: When are attacks on civilian infrastructure war crimes?, article with gallery",meter-true
3667,"Factbox: What will Japan's military build-up look like?, article with image",meter-true
3668,"Russia preparing for long war, Ukrainian military says, article with gallery",meter-true
3669,"Africa's food crisis is the biggest yet – five reasons why, article with video",meter-true
3670,"Hamas defiant as hardline Israeli coalition takes shape, article with gallery",meter-true
3671,"South Sudan violence has killed 166 civilians, displaced over 20,000 - U.N., article with image",meter-true
3672,"Climate change will fuel humanitarian crises in 2023 -study, article with image",meter-true
3673,"Exclusive: International legal experts assist Ukraine in sexual violence investigation, article with video",meter-true
3674,"Colombia's government, ELN guerrillas complete first round of talks, article with gallery",meter-true
3675,"Some Russian soldiers in Ukraine unhappy with top brass, Girkin says, article with image",meter-true
3676,"EU adds eight people to Congolese sanctions list, article with gallery",meter-true
3677,"M23 rebels ready to withdraw from occupied areas in eastern Congo, article with video",meter-true
3678,"Colombia's armed forces to maintain offensive against armed groups -president says, article with image",meter-true
3679,"Pakistan's new army chief says will defend ""motherland"" during visit to disputed Kashmir, article with image",meter-true
3680,"Congolese army says rebels massacred 50 civilians in eastern town, article with gallery",meter-true
3681,"Russia accuses U.S. of direct Ukraine war role, but says it's open to potential talks, article with image",meter-true
3682,"Colombia faces very large challenge to stop ""endemic violence"" -Amnesty, article with gallery",meter-true
3683,"In Peru's hills, an artisanal miner boom frustrates Big Copper's plans, article with gallery",meter-true
3684,"Hunger-struck Africa needs liquidity, debt relief, article with image",meter-true
3685,"Russia should use advanced weapons in Ukraine, Shoigu says, article with image",meter-true
3686,"Exclusive: U.S., Russia have used their military hotline once so far during Ukraine war, article with gallery",meter-true
3687,"Burkina Faso's vanishing gold boom puts livelihoods at risk, article with gallery",meter-true
3688,"Colombia, ELN rebels invite three more countries to help with peace talks, article with image",meter-true
3689,"Explainer: Why Pakistan's army chief matters far beyond its borders, article with image",meter-true
3690,"History repeats in Congo for families fleeing rebel violence, article with video",meter-true
3691,"Peace talks will not slow Colombia's offensive against armed groups -officials, article with image",meter-true
3692,"Chechens fighting for Ukraine see chance to 'free' their homeland, article with video",meter-true
3693,"Some Russian commanders encouraged sexual violence, says lawyer advising Kyiv, article with gallery",meter-true
3694,"Russia's war on Ukraine latest news: Harsh winter looms as Russian strikes hobble Ukraine's power capacity, article with video",meter-true
3695,"Senators urge Pentagon to reconsider Gray Eagle drones for Ukraine, article with gallery",meter-true
3696,"Turkey vows more retaliation after 2 killed in cross-border Kurdish strikes, article with gallery",meter-true
3697,"Colombia, ELN rebels start peace talks, hoping to end six decades of war, article with gallery",meter-true
3698,"On Europe's new frontlines, red tape, politics and potholes hamper defence, article with video",meter-true
3699,"U.S. says Russia's Ukraine invasion offered preview to potential global tyranny, article with video",meter-true
3700,"Ukraine says half its energy system crippled by Russian attacks, Kyiv could 'shutdown', article with gallery",meter-true
3701,"Factbox: North Korea's expanding missile capabilities, article with image",meter-true
3702,"Colombia, ELN rebels set to begin peace talks next week, article with image",meter-true
3703,"Analysis: Libya's festering crisis risks slide back to war, article with gallery",meter-true
3704,"Explainer: Who Pakistan picks as army chief matters far beyond its borders, article with image",meter-true
3705,"Republican U.S. House will sharpen China focus, monitor Ukraine aid, article with image",meter-true
3706,"Former Kenya president calls for urgent intervention in Congo fighting, article with video",meter-true
3707,"Brutality of war grips Polish village where missile struck, article with video",meter-true
3708,"Explainer: NATO's Articles 4 and 5: Could Ukraine war trigger its defence obligations?, article with video",meter-true
3709,"Pope asks God to 'hurry up' to end Ukraine war, condemns missile strikes, article with gallery",meter-true
3710,"Americas rights body turns up heat on Mexico over missing students, article with video",meter-true
3711,"Hundreds flee as Congo's M23 rebels near key city of Goma, article with video",meter-true
3712,"UK set to join EU project helping swift military movements across Europe, article with image",meter-true
3713,"Both Russia and Ukraine tortured prisoners of war, UN says, article with image",meter-true
3714,"Kremlin criticises attempts to 'plunder' frozen assets for Ukraine reparations, article with image",meter-true
3715,"Factbox: What is the Syrian Kurdish YPG?, article with video",meter-true
3716,"Video shows sledgehammer execution of Russian mercenary, article with image",meter-true
3717,"Biden discusses security pact, Taiwan Strait with Australian PM, article with image",meter-true
3718,"Turkey seeks Ukraine peace talks despite Western actions, Erdogan says, article with image",meter-true
3719,"Exclusive: Russia needs time to pull back from Kherson, fighting to slow in winter -Kyiv, article with video",meter-true
3720,"EU proposes cyber defence plan as concerns about Russia mount, article with video",meter-true
3721,"Explainer: Blood, treasure and chaos: the cost of Russia's war in Ukraine, article with image",meter-true
3722,"More than 100,000 Russian military casualties in Ukraine, top U.S. general says, article with image",meter-true
3723,"U.N. experts call for release of Turkish medical association head, article with gallery",meter-true
3724,"Pussy Riot's Alyokhina urges West to confront 'abuser' Putin with strength, article with gallery",meter-true
3725,"Swiss again reject German request to re-export Swiss ammunition to Ukraine, article with image",meter-true
3726,"North Korea fires 23 missiles, one landing off South Korean coast for first time, article with video",meter-true
3727,"Russia: West must stop 'encouraging provocations' to avoid nuclear disaster, article with image",meter-true
3728,"North Korea says U.S.-South Korea drills 'can no longer be tolerated', article with gallery",meter-true
3729,"Empty streets, shuttered shops as Russian-held Kherson braces for battle, article with gallery",meter-true
3730,"After weeks of chaos, Russia says partial mobilisation is complete, article with image",meter-true
3731,"Russia's partial mobilisation is complete, Shoigu says, article with gallery",meter-true
3732,"Russia's anti-satellite threat tests laws of war in space, article with image",meter-true
3733,"Israel, Lebanon finalise maritime demarcation deal without mutual recognition, article with video",meter-true
3734,"Ethiopian government accused of deadly air strikes on Oromiya region, article with image",meter-true
3735,"Analysis: Xi's new generals offer cohesion over possible Taiwan plans, article with image",meter-true
3736,"Analysis: Deal for reducing military tensions with North Korea could go 'back to square one', article with image",meter-true
3737,"Colombia's Congress approves negotiations with illegal armed groups, article with image",meter-true
3738,"ASEAN chair warns over Myanmar violence; U.S. urges more pressure, article with image",meter-true
3739,"Romania plans to boost Black Sea talks, military procurement, article with image",meter-true
3740,"Malaysia's deportation of Myanmar refugees violates international law - UN, article with image",meter-true
3741,"France's Macron says there is chance for peace in Ukraine, article with video",meter-true
3742,"Israeli forces kill Palestinian in West Bank, Palestinian officials say, article with video",meter-true
3743,"Little-known Penny Mordaunt ready to run again for Britain's top job, article with image",meter-true
3744,"U.S. grants Temporary Protected Status to Ethiopians fleeing conflict, article with image",meter-true
3745,"Kremlin: We don't expect 'political wisdom' in selection of new British PM, article with image",meter-true
3746,"Russian court orders arrest of dissident journalist Ovsyannikova, article with image",meter-true
3747,"Lafarge pleads guilty to U.S. charge of supporting Islamic State, to pay $778 million, article with video",meter-true
3748,"EXCLUSIVE Looped in 'line by line', Hezbollah shows pragmatic side in Lebanon-Israel deal, article with gallery",meter-true
3749,"Australia to investigate reports pilots trained Chinese military - minister, article with image",meter-true
3750,"Analysis: Vladimir Putin is safe in power for now, but risks lie ahead, sources say, article with gallery",meter-true
3751,"Russian women pay the price in protests against Putin's war, article with gallery",meter-true
3752,"Iraq elects new president and premier, ending stalemate, article with gallery",meter-true
3753,"North Korea says it practiced firing nuclear-capable cruise missiles, article with image",meter-true
3754,"Turkish energy minister: Putin proposal for gas hub in Turkey should be discussed, article with image",meter-true
3755,"Analysis: Fearing war in Xi's next term, Taiwan bolsters defences, article with video",meter-true
3756,"Explainer: Why Russia's missiles on Ukraine have limited impact, article with gallery",meter-true
3757,"Iran protests over woman's death persist despite crackdown, article with image",meter-true
3758,"Iraqi parliament to vote Thursday on new president amid divisions, article with gallery",meter-true
3759,"Moldovan president calls for tougher policing to tackle pro-Russia protests, article with image",meter-true
3760,"Colombia to keep fighting drugs, criminal groups amid drive for total peace, article with image",meter-true
3761,"Taiwan says war with China 'absolutely' not an option, but bolstering defences, article with image",meter-true
3762,"Colombia reaches deal to buy land from cattle ranchers, article with image",meter-true
3763,"Don't cancel New Year celebrations because of war, says Moscow, article with image",meter-true
3764,"Erdogan and Putin discuss improving ties, ending Ukraine war, article with image",meter-true
3765,"South Korea, U.S. fire missiles to protest 'reckless' North Korean test, article with video",meter-true
3766,"Roadside bomb kills three U.N. peacekeepers in Central African Republic, article with image",meter-true
3767,"Who is Ibrahim Traore, the soldier behind Burkina Faso's latest coup?, article with video",meter-true
3768,"Lebanon's Berri sees draft maritime deal as 'positive', article with image",meter-true
3769,"North Korea fires fourth missile in a week as South flexes military muscle, article with image",meter-true
3770,"Russian military showing increased frailty in Ukraine war -British military chief, article with image",meter-true
3771,"Nobel Peace Prize could condemn Ukraine war or highlight climate change, article with video",meter-true
3772,"In Colombia, land occupations raise tensions and spook investors, article with gallery",meter-true
3773,"U.S. VP Harris denounces North Korea's 'brutal dictatorship,' Pyongyang fires more missiles, article with video",meter-true
3774,"Colombia peace process must solve causes of conflict - ELN rebel commander, article with image",meter-true
3775,"Israeli forces kill 4 Palestinian gunmen in flashpoint West Bank town, article with video",meter-true
3776,"Moldova must boost defences, given presence of Russia troops -president, article with image",meter-true
3777,"Colombia says 10 armed groups agree to unilateral ceasefire, article with image",meter-true
3778,"Analysis: Truth or bluff? Why Putin's nuclear warnings have the West worried, article with gallery",meter-true
3779,"UN says Russia abuses prisoners in Ukraine, article with image",meter-true
3780,"Factbox: Russia prepares to formally annex 15% of Ukraine, article with video",meter-true
3781,"Russians flee to Georgia after Putin's mobilisation order, article with video",meter-true
3782,"Lebanon expects U.S. mediator offer for maritime border with Israel within days, article with image",meter-true
3783,"Moldova considers sanctions for citizens who fight for Russia in Ukraine, article with image",meter-true
3784,"Israeli forces kill Palestinian militant in West Bank, article with gallery",meter-true
3785,"More than 730 detained in anti-mobilisation protests across Russia, rights group says, article with video",meter-true
3786,"Russia holds annexation votes; Ukraine says residents coerced, article with video",meter-true
3787,"Ukraine's Zelenskiy acclaims commanders freed in prisoner swap, article with video",meter-true
3788,"U.N. rights envoy warns that Myanmar's election will be a 'fraud', article with image",meter-true
3789,"Ukraine's Zelenskiy hails commanders freed in prisoner swap as 'superheroes', article with image",meter-true
3790,"Russia calls up 300,000 reservists, says 6,000 soldiers killed in Ukraine, article with video",meter-true
3791,"Disdain and defiance among Kyiv residents after Putin order, article with image",meter-true
3792,"Categories exempt from call-up to be determined soon - Kremlin, article with image",meter-true
3793,"Colombia's Petro calls on Latin America to unite against war on drugs, article with image",meter-true
3794,"Russian parliament toughens punishment for crimes during military mobilisation, article with image",meter-true
3795,"India's Modi assails Putin over Ukraine war, article with gallery",meter-true
3796,"Putin tells Modi he understands India's concerns over Ukraine conflict, article with gallery",meter-true
3797,"Princes William, Harry to stand vigil at Queen Elizabeth's coffin on Saturday, article with image",meter-true
3798,"Putin acknowledges China's concerns over Ukraine in sign of friction, article with video",meter-true
3799,"Russia says longer-range U.S. missiles for Kyiv would cross red line, article with video",meter-true
3800,"Armenia reports truce after new clashes with Azerbaijan, article with video",meter-true
3801,"Putin calls for calm amid deadliest Azerbaijan-Armenia clashes since 2020, article with video",meter-true
3802,"Turkey backs Azerbaijan, says Armenia 'should cease provocations', article with image",meter-true
3803,"Uganda says paid first instalment in Congo war reparations, article with video",meter-true
3804,"Ukrainians with disabilities remain trapped in conflict zones, U.N. committee says, article with image",meter-true
3805,"Some Russians mourn Queen Elizabeth with flowers as Kremlin pays respects, article with gallery",meter-true
3806,"EU boosts military support to gas-rich Mozambique amid energy crisis, article with gallery",meter-true
3807,"Ukraine's top general warns of Russian nuclear strike risk, article with image",meter-true
3808,"Swiss seek closer defence ties to EU, NATO; to stay neutral, article with image",meter-true
3809,"Praying for 'martyred Ukraine', Pope urges halt to 'world war', article with video",meter-true
3810,"Myanmar conflict under control, junta chief says, article with image",meter-true
3811,"Israel: Al Jazeera reporter was likely killed unintentionally by its forces, article with image",meter-true
3812,"Nuclear plant loses power line as Moscow, West energy row escalates, article with video",meter-true
3813,"Seven Colombia police killed in deadliest attack since leftist took office, article with gallery",meter-true
3814,"Top Russian oil official falls to death from hospital window - sources, article with video",meter-true
3815,"Russia's military suffering manpower shortages -U.S. intelligence, article with image",meter-true
3816,"UN inspectors near Ukrainian nuclear plant on mission to avert an accident, article with video",meter-true
3817,"Kyiv ravers escape horrors of war through music, article with video",meter-true
3818,"Zelenskiy tells Russians to run for their lives from Ukraine offensive in south, article with video",meter-true
3819,"Deadly clashes rage in Baghdad in Shi'ite power struggle, article with video",meter-true
3820,"Tripoli calm, Libya riven after worst fighting in years, article with video",meter-true
3821,"U.S. warships transit Taiwan Strait, first since Pelosi visit, article with gallery",meter-true
3822,"Colombian president proposes multilateral ceasefire to illegal armed groups, article with image",meter-true
3823,"Deadly battles erupt across Tripoli, raising fears of wider Libya war, article with video",meter-true
3824,"U.S. senator arrives in Taiwan, defying angry Beijing, article with video",meter-true
3825,"Chile's Boric suffers first Cabinet resignation, article with image",meter-true
3826,"Zelenskiy says crisis averted as Russian-held Ukraine nuclear plant regains power, article with video",meter-true
3827,"U.S. report identifies 21 'filtration' locations run by Russia for processing Ukrainians, article with gallery",meter-true
3828,"In strategy shift, Colombia to suspend air strikes on armed groups, article with image",meter-true
3829,"Putin signs decree to increase size of Russian armed forces, article with image",meter-true
3830,"Thailand's new acting leader is another royalist military man, article with image",meter-true
3831,"Colombia will not extradite criminals who negotiate government deals - Petro, article with image",meter-true
3832,"Analysis: Putin bets winter gas chokehold will yield Ukraine peace - on his terms, article with image",meter-true
3833,"Explainer: Blood, treasure and chaos - the cost of Russia's war in Ukraine, article with gallery",meter-true
3834,"Blasts, fresh drone attacks rock Russian-held areas far from Ukraine war front, article with video",meter-true
3835,"Ukraine and Russia: What you need to know right now, article with gallery",meter-true
3836,"Top U.N. official presses Myanmar's junta leader in rare visit, article with image",meter-true
3837,"Fresh shelling renews blame game over Ukraine nuclear plant, article with video",meter-true
3838,"Colombia's Petro replaces military commanders in human rights drive, article with image",meter-true
3839,"U.N. humanitarian agencies face record funding gap this year, article with image",meter-true
3840,"Colombia advances towards restarting peace talks with ELN, article with image",meter-true
3841,"Blinken, Kagame discuss U.N. report that Rwanda supports rebel group, article with video",meter-true
3842,"Taiwan says China's threat remains, though military drills ease, article with image",meter-true
3843,"Kosovo PM says tensions with Serbs in north could escalate, warns of possible new conflict, article with image",meter-true
3844,"U.S. 'very concerned' about reports Rwanda backing rebels in Congo, Blinken says, article with video",meter-true
3845,"Russia suspends START arms inspections over U.S. travel curbs, article with image",meter-true
3846,"Palestinian militants fire rockets at Israel after Gaza air strikes, article with video",meter-true
3847,"Shells hit power lines at Ukraine nuclear plant, fighting in east, article with gallery",meter-true
3848,"Ukraine seeks to extend shipping safe passage deal beyond grain, article with gallery",meter-true
3849,"Canada to help train Ukrainian recruits in United Kingdom, article with image",meter-true
3850,"Russian ceasefire and troop pullout must precede any talks, says Ukraine, article with video",meter-true
3851,"Analysis: Crisis in Iraq tests its stability and Iran's sway, article with gallery",meter-true
3852,"Pelosi arrives in Taiwan vowing U.S. commitment; China enraged, article with video",meter-true
3853,"Pope to visit Kazakhstan, may meet Russian Orthodox patriarch, article with gallery",meter-true
3854,"Factbox: Iraq’s competing Shi’ite groups, article with gallery",meter-true
3855,"Myanmar junta extends emergency rule, cites need for stability, article with image",meter-true
3856,"Explainer: What's driving the power struggle in Iraq?, article with gallery",meter-true
3857,"Russia, Ukraine trade blame for dozens of deaths in Donetsk prison destruction, article with video",meter-true
3858,"Blinken and Russia's Lavrov have 'frank' discussion about detained citizens, article with video",meter-true
3859,"Six bodies found in southern Syrian town after clashes, reports say, article with image",meter-true
3860,"Analysis: With massive Polish arms deal S.Korea steps closer to Ukraine war, article with image",meter-true
3861,"N.Korea's Kim says nuclear deterrent is ready, slams South's Yoon, article with video",meter-true
