id,claim,truth_value,title,stated_on
454,The loss of Lysychansk means Russia has seized essentially all of Luhansk province and can move its sights toward neighboring Donetsk.,meter-true,Ukraine unveils $750 billion recovery plan as Russia sets sights on Donetsk,"July 04, 2022 at 12:00 PM GMT+5:30"
455,"Moscow's claim on Ukraine's last major stronghold in Luhansk signaled a turning point in its assault, but Kyiv said the fight for the east “is not over.”",meter-true,Russia claims key city in punishing conquest of eastern Ukraine ,"July 03, 2022 at 6:45 PM GMT+5:30"
456,"For volunteers from Taiwan, the war in Ukraine is a chance to bring battlefield experience back home — where debate is raging over military readiness.",meter-true,"Wary of China threat, Taiwanese join Ukraine’s fight against Russia","July 03, 2022 at 5:30 PM GMT+5:30"
457,"Russian forces have used tactics in Lysychansk that were even more brutal than in nearby Severodonetsk, the Luhansk regional governor said.",meter-true,Ukrainian forces withdraw from Lysychansk; Kyiv says Donbas battle not over,"July 03, 2022 at 12:30 PM GMT+5:30"
458,"Ukrainian President Volodymyr Zelensky decried “purposeful Russian terror"" after missile strikes killed at least 21 people near the Black Sea port of Odessa.",meter-true,Kyiv disputes Russia’s claim that it has ‘completely surrounded’ Lysychansk,"July 02, 2022 at 11:30 AM GMT+5:30"
459,"American WNBA star Brittney Griner is standing trial in Moscow, but experts on Russia’s legal system expect the proceedings will be a show trial.",meter-true,"More than 20 dead in Odessa strikes, Kyiv says ","July 01, 2022 at 10:55 AM GMT+5:30"
460,"Moscow framed the withdrawal from the Black Sea island as an effort to create a humanitarian corridor, while Kyiv said it came after intense artillery strikes by Ukraine’s military",meter-true,Russian forces withdraw from Ukraine’s Snake Island,"June 30, 2022 at 6:12 PM GMT+5:30"
461,"Russia says its forces have withdrawn from Snake Island, a highly contested island in the Black Sea that Russia occupied soon after its February invasion.",meter-true,"Biden pledges $800 million in new weapons for Ukraine, says U.S. gas prices will remain high","June 30, 2022 at 11:45 AM GMT+5:30"
462,Relations between the giant neighbors haven't always been easy. But locals in northeast China have no doubt over whose team they're on when it comes to Ukraine.,meter-true,"On China-Russia border, new bonds are forged against U.S. over Ukraine","June 29, 2022 at 2:10 PM GMT+5:30"
463,President Biden will meet with Turkish President Erdogan after Turkey agreed to stop blocking the NATO bids of Sweden and Finland.,meter-true,U.S. to increase military presence in Europe ,"June 29, 2022 at 11:31 AM GMT+5:30"
464,"The U.N. Security Council will discuss the deadly attack on a mall in Kremenchuk, Ukraine, during a meeting Tuesday.

",meter-true,"Turkey drops opposition to Finland, Sweden joining NATO","June 28, 2022 at 11:30 AM GMT+5:30"
465,Western sanctions punishing Moscow for invading Ukraine have restricted its ability to pay overseas creditors.,meter-true,Russia defaults on foreign debt for first time since 1918: What to know,"June 27, 2022 at 12:23 PM GMT+5:30"
466,Ukrainian President Volodymyr Zelensky requested modern antiaircraft systems and more powerful arms to launch counterattacks. ,meter-true,"Russian strike hits crowded mall, Zelensky says, amid push for aid at G-7","June 27, 2022 at 11:44 AM GMT+5:30"
467,"A Russian missile hit a Kyiv apartment block, as Moscow's forces closed in on the eastern city of Lysychansk.",meter-true,Strikes hit Kyiv; Biden says G-7 will ban Russian gold imports,"June 26, 2022 at 11:36 AM GMT+5:30"
468,"Ukraine’s wins off the battlefield stood in sobering contrast to developments in the country, where Russian troops have made further advances. ",meter-true,Ukraine pulls back from Severodonetsk,"June 24, 2022 at 11:16 AM GMT+5:30"
469,It is killing far more soldiers per day than the typical war — and all signs point to protracted conflict.,meter-true,Perspective | The war in Ukraine is on track to be among modern history’s bloodiest,"June 23, 2022 at 9:07 PM GMT+5:30"
470,The historic move marks the start of a process to join the bloc that could take decades - but gives Ukraine a much-needed morale boost.,meter-true,Kyiv granted E.U. membership candidacy in symbolic win amid war,"June 23, 2022 at 11:30 AM GMT+5:30"
471,We can't afford to let Vladimir Putin win the energy war,meter-true,Opinion | Restricting U.S. oil exports would betray European allies and benefit Russia,"June 22, 2022 at 3:30 PM GMT+5:30"
472,"Amid the invasion of Ukraine, the international view of Russia has taken a hit, will the image of the United States and NATO has not, according to polling by Pew.",meter-true,Russia intensifies push to seize Luhansk ,"June 22, 2022 at 11:36 AM GMT+5:30"
473,"Ukraine faces an increasingly grim fight in the Luhansk region, where Ukrainian officials warn that Russia is staging heavy military equipment.",meter-true,U.S. attorney general visits Kyiv as heavy fighting continues in Luhansk ,"June 21, 2022 at 12:45 PM GMT+5:30"
474,"Moscow made its first comment on the captured U.S. citizens, the military veterans Alexander J. Drueke and Andy Tai Huynh. ",meter-true,"Kremlin says captured Americans are ‘soldiers of fortune,’ not subject to Geneva Conventions","June 20, 2022 at 11:40 AM GMT+5:30"
475,"The war with Russia has killed 100 to 200 soldiers, most of them men, every day, Ukrainian officials say.",meter-true,Zelensky in Father’s Day message praises dads who defend Ukraine,"June 19, 2022 at 9:32 PM GMT+5:30"
476,"Russia has massed reserves in the Luhansk region in preparation for a large attack, according to its governor, Serhiy Haidai.",meter-true,Ukraine awaits E.U. candidate decision; leaders prepare for long war,"June 19, 2022 at 11:34 AM GMT+5:30"
477,U.S. officials say the danger of Russia swallowing Ukraine and becoming more emboldened is worth risking a long war and potential global economic turmoil.,meter-true,Russia makes ‘marginal gains’ near Severodonetsk,"June 18, 2022 at 11:45 AM GMT+5:30"
478,Roman Ratushny had a big future ahead of him.,meter-true,Opinion | A young soldier’s death reminds Ukrainians that the war is taking their best,"June 17, 2022 at 4:30 PM GMT+5:30"
479,"All 27 member states must agree. Even then, full membership could be many years away.",meter-true,"Ukraine should get E.U. candidate status, European Commission recommends","June 17, 2022 at 4:14 PM GMT+5:30"
480,"Grady Kurpasi went missing the same day Willy Joseph Cancel was killed, according to a fighter who says he was with them.",meter-true,U.S. Marine veteran fighting in Ukraine has been missing since April,"June 17, 2022 at 12:21 PM GMT+5:30"
481,"“Ukrainians are ready to die for the European perspective,” European Commission president Ursula von der Leyen said. “We want them to live with us the European dream.”",meter-true,European Commission backs Kyiv’s E.U. ambitions as Putin lashes out at West,"June 17, 2022 at 12:00 PM GMT+5:30"
482,Both Ukraine and its Western friends need to formulate war goals.,meter-true,Opinion | It’s time to start thinking about the endgame in Ukraine,"June 17, 2022 at 3:22 AM GMT+5:30"
483,Their visit comes as Ukraine is in negotiations to begin the process of joining the European Union and as Russia nears total control of a key eastern region. ,meter-true,"France, Germany, Italy back Ukraine’s E.U. candidacy in first wartime trip to Kyiv","June 16, 2022 at 2:05 PM GMT+5:30"
484,"French President Emmanuel Macron said the leaders of France, Italy and Germany, brought a “message of unity.”

",meter-true,"In Kyiv visit, European leaders back Ukraine’s candidacy to join E.U.","June 16, 2022 at 11:30 AM GMT+5:30"
485,Russia and Ukraine signed a deal Friday to restart Ukrainian grain exports. But some countries are already feeling the effects of Russia's war in Ukraine on food security.,meter-true,5 countries hit hard by the grain crisis in Ukraine,"June 15, 2022 at 4:30 PM GMT+5:30"
486,Defense Secretary Lloyd Austin is hosting a meeting Wednesday with officials from nations that support Ukraine to discuss arms assistance.,meter-true,U.S. announces additional $1 billion in military aid to Ukraine,"June 15, 2022 at 11:30 AM GMT+5:30"
487,"High fuel prices and rising global demand have kept money flowing into Moscow’s coffers, according to the Center for Research on Energy and Clean Air.
",meter-true,"Russia made nearly $100B from fuel exports in war’s first 100 days, report says","June 14, 2022 at 6:06 PM GMT+5:30"
488,Ukrainian President Volodymyr Zelensky called the battle in the east among the most brutal in European history. ,meter-true,"Casualties rise as Russia makes incremental gains in east, Pentagon official says","June 14, 2022 at 11:45 AM GMT+5:30"
489,"NATO Secretary General Jens Stoltenberg will visit Sweden. Russia could capture Severodonetsk in days and the entire Luhansk region soon after, a U.S. official says.",meter-true,Russia makes progress in the east as Ukraine pleads for weapons,"June 13, 2022 at 11:39 AM GMT+5:30"
490,"Facing shortages on the battlefield, Ukrainian soldiers get supplies they need to survive the war from 3D printers across the world.",meter-true,How the 3D-printing community worldwide is aiding Ukraine,"June 12, 2022 at 3:30 PM GMT+5:30"
491,Volodymyr Zelensky said it was “too late” to persuade Moscow to end its invasion. China said it never gave Russia weapons in its war on Ukraine. ,meter-true,"Russia likely to seize control of eastern Ukrainian region within weeks, U.S. official says","June 12, 2022 at 12:35 PM GMT+5:30"
492,"Russia is likely to seize control of the entire Luhansk region of Ukraine within a few weeks, a senior U.S. defense official said, as Ukraine sustains heavy casualties and its supplies of ammunition dwindle.",meter-true,"Russia likely to seize all of Luhansk in coming weeks, U.S. official says","June 12, 2022 at 4:42 AM GMT+5:30"
493,"President Biden said Ukrainian President Volodymyr Zelensky “didn’t want to hear” U.S. warnings of a potential Russian attack before the invasion began, according to the Associated Press. Ukrainian officials have objected to Biden’s claim.",meter-true,"Russia controls most of Severodonetsk, governor says","June 11, 2022 at 11:30 AM GMT+5:30"
494,Mariupol Mayor Vadym Boychenko said on national television that there is evidence of a potential cholera outbreak that could kill thousands as a result of the port city’s water supply being poisoned by blood from dead bodies that have yet to be collected.,meter-true,Ukraine pleas for ammunition grow amid intense firefight in East,"June 10, 2022 at 12:00 PM GMT+5:30"
495,Putin’s Russia is the world’s great spoiler. ,meter-true,Opinion | The best China strategy? Defeat Russia.,"June 10, 2022 at 4:17 AM GMT+5:30"
496,The governor of the Luhansk region said that Russia was not in control of Severodonetsk and that “nobody is surrendering” there.,meter-true,Three foreign fighters sentenced to death as Russia lashes out,"June 09, 2022 at 11:57 AM GMT+5:30"
497,"The former German chancellor's past efforts to broker peace, as well her opposition to Ukraine joining NATO, have come under scrutiny since the war.",meter-true,"Merkel defends Ukraine policy, does not regret engaging Russia","June 08, 2022 at 1:24 PM GMT+5:30"
498,"The Kremlin claims control over most of the Luhansk region, with Ukraine still defending an industrial zone in Severodonetsk. ",meter-true,U.N. seeks deal on food exports as war drives up prices and hurts millions worldwide,"June 08, 2022 at 11:30 AM GMT+5:30"
499,There are hundreds of prisoners of conscience in Putin’s Russia. They need the world's attention.,meter-true,Opinion | Vladimir Kara-Murza from jail: The worst nightmare for political prisoners,"June 07, 2022 at 3:30 PM GMT+5:30"
500,"The Kremlin alleged Ukraine might fire the multiple-launch rocket systems at targets inside Russia, though Kyiv has agreed to use the weapons only within its territory.
",meter-true,Kyiv asks for more rocket systems as Kremlin warns of potential strikes in Russia,"June 07, 2022 at 1:04 PM GMT+5:30"
501,Zelensky said Ukraine could reclaim Severodonetsk but that conditions have worsened for fighters defending the key city.,meter-true,"Severodonetsk defenders holding out under merciless shelling, mayor says","June 07, 2022 at 11:30 AM GMT+5:30"
502,"Ukraine had regained ground in the key eastern city of Severodonetsk, according to the regional governor, but he said Monday the situation there has ""worsened for us.""",meter-true,"Fighting in Severodonetsk has ‘worsened,’ official says; Britain pledges rocket systems","June 06, 2022 at 11:35 AM GMT+5:30"
503,Kyiv was rocked by explosions; Ukraine regained ground in Severodonetsk and rebuked French President Emmanuel Macron.,meter-true,Putin threatens new targets if Ukraine gets longer-range rockets; missiles hit Kyiv,"June 05, 2022 at 12:12 PM GMT+5:30"
504,Ukraine also rejected a British intelligence forecast that Russia could control the Luhansk region in two weeks.,meter-true,Ukraine takes back part of Severodonetsk; revered church engulfed in flames,"June 04, 2022 at 11:30 AM GMT+5:30"
505,"Ukraine’s Zelensky called areas under Russian control a ""zone of total catastrophe"" and said the military situation in Severodonetsk was dire.",meter-true,Ukrainian troops locked in brutal combat for key city as Putin believes time on his side,"June 03, 2022 at 11:30 AM GMT+5:30"
506,"Ukraine is withstanding Russian attacks in the east, but it is a grinding fight, the Pentagon said.",meter-true,Street battles in Severodonetsk; Zelensky says Russia holds 20% of Ukraine,"June 02, 2022 at 11:30 AM GMT+5:30"
507,"The advanced rocket systems will mean that Ukraine “can fight on the battlefield and be in the strongest possible position at the negotiating table,” Biden said.",meter-true,"Russia, U.S. trade barbs over weapons pledge; Severodonetsk on the brink","June 01, 2022 at 11:35 AM GMT+5:30"
508,"Ukrainians will keep fighting, but only one person has the power to make the war go away.",meter-true,Opinion | Think the West can coax an end to the war in Ukraine? You’re wrong.,"June 01, 2022 at 12:40 AM GMT+5:30"
509,"Ukrainian President Volodymyr Zelensky said Russia's combat power is at ""maximum"" strength in the Donbas region, which includes Luhansk.",meter-true,"U.S. will send advanced rocket systems to Ukraine, Biden says, as Donbas conflict rages","May 31, 2022 at 11:30 AM GMT+5:30"
510,Ukrainian President Volodymyr Zelensky said that 90 percent of Severodonetsk’s buildings and all of its “critical infrastructure” had been destroyed.,meter-true,Lyman overtaken by Russians; French journalist killed in Severodonetsk area,"May 30, 2022 at 12:23 PM GMT+5:30"
511,Gloominiess descends on Ukraine as war tide turns.,meter-true,Ukraine suffers on battlefield while pleading for U.S. arms,"May 30, 2022 at 12:34 AM GMT+5:30"
512,"Russian forces advanced Sunday in the industrial hub of Severdonetsk, Ukraine’s military said. Analysts say Moscow controls most of the region.",meter-true,Severodonetsk under assault as Kremlin forces continue to target Ukraine’s east,"May 29, 2022 at 12:24 PM GMT+5:30"
513,A Russian court recently approved the dismissal of more than 100 National Guard members for refusing to participate in the invasion. ,meter-true,"Putin’s war grinds on, with dissent from Russian hawks and peace-seekers","May 28, 2022 at 1:35 PM GMT+5:30"
514,It could be years before any high-level Russian officials are held to account — if they ever are.,meter-true,An ‘unprecedented’ effort to document war crimes in Ukraine. But what chance of justice?,"May 28, 2022 at 1:30 PM GMT+5:30"
515,"Russia’s Defense Ministry said its forces now control Lyman, a town providing access to bridges over the Siversky Donets river.",meter-true,Russia claims capture of key Ukrainian transport hub,"May 28, 2022 at 11:30 AM GMT+5:30"
516,Russian-backed forces seized the railway hub of Lyman Friday and advanced on the city of Severodonetsk.,meter-true,Russia takes territory in eastern Ukraine; U.S. to send long-range rocket systems ,"May 27, 2022 at 12:07 PM GMT+5:30"
517,Russia’s aggression has sparked something like a revolution in Europe.,meter-true,Opinion | The one hopeful sign coming out of Davos this year,"May 27, 2022 at 2:46 AM GMT+5:30"
518,"Russia could soon make a direct assault on Severodonetsk, one of the largest eastern cities still under Ukrainian control.",meter-true,"Russians push to encircle Ukrainian troops, Pentagon says ","May 26, 2022 at 12:15 PM GMT+5:30"
519,Swedish and Finnish delegations are in Turkey to discuss Ankara's concerns about their NATO membership bids. ,meter-true,"'Positive’ signs but no breakthrough after talks with Sweden and Finland, says Turkish official","May 25, 2022 at 11:30 AM GMT+5:30"
520,"By opposing aid to Ukraine, MAGA Republicans reject the Reagan Doctrine",meter-true,Opinion | MAGA Republicans aren’t isolationist. They’re pro-Putin.,"May 24, 2022 at 11:14 PM GMT+5:30"
521,European Commission President Ursula von der Leyen accused Russia of “trying to trample the aspirations of an entire nation with tanks.”,meter-true,"Putin made ‘big strategic mistake’ in Ukraine, NATO chief says in Davos","May 24, 2022 at 7:29 PM GMT+5:30"
522,"The eastern city of Severodonetsk remains under Ukrainian control but is being pummeled by nearby Russian forces that are “destroying the city completely,” a local official said.",meter-true,"Putin made ‘big strategic mistake,’ NATO chief says","May 24, 2022 at 11:00 AM GMT+5:30"
523,"In a letter circulated to colleagues and posted on social media, Boris Bondarev, counsellor to the Russian UN mission in Geneva, says he's never been ""so ashamed"" of his country.",meter-true,‘Ashamed’ Russian diplomat resigns over Putin’s ‘aggressive war’ ,"May 23, 2022 at 7:42 PM GMT+5:30"
524,"Volodymyr Zelensky, speaking the World Economic Forum in Davos, accused Russia of “becoming a state of war criminals.” ",meter-true,"Russian soldier convicted of war crime — one of 13,000 probes, says Ukrainian official","May 23, 2022 at 11:31 AM GMT+5:30"
525,Severodonetsk looks set to be the war’s next major battlefield as Russia apparently deploys BMP-T “Terminator” tank support vehicles.,meter-true,Ukrainian leaders warn of dire situation in key eastern city of Severodonetsk,"May 22, 2022 at 11:30 AM GMT+5:30"
526,The aid package deepens the U.S. commitment to Ukraine amid signs of preparations for a longer conflict.,meter-true,Biden signs $40 billion Ukraine aid bill,"May 21, 2022 at 10:35 AM GMT+5:30"
527,He has highlighted suffering while trying to maintain neutrality.,meter-true,Pope Francis’s refusal to condemn Putin spurs debate in Catholic Church,"May 20, 2022 at 5:25 PM GMT+5:30"
528,"Meantime, Russia plans to cut off Finland from natural gas and the war crimes trial of Russian solider Vadim Shishimarin will resume next week in Ukraine.",meter-true,Russia says it has full control of Mariupol steel plant,"May 20, 2022 at 11:00 AM GMT+5:30"
529,"The former U.S. president, who has faced criticism for the 2003 Iraq invasion, made an apparent verbal slip.",meter-true,George W. Bush called Iraq war ‘unjustified and brutal.’ He meant Ukraine.,"May 19, 2022 at 1:34 PM GMT+5:30"
530,"The war crimes trial of Russian soldier Vadim Shishimarin, 21, who pleaded guilty to killing a civilian, is set to resume.",meter-true,"Biden praises Sweden, Finland NATO bid; Senate approves $40 billion in Ukraine aid","May 19, 2022 at 10:45 AM GMT+5:30"
531,"Canadian-born Ivanka Siolkowsky is painting daffodils, poppies and sunflowers — with bullet holes at their center — in the Kyiv suburb.",meter-true,"In Ukraine’s Bucha, one woman is painting flowers around bullet holes","May 18, 2022 at 5:24 PM GMT+5:30"
532,Russian leaders are responding to the historic move by Finland and Sweden to apply to join NATO with talk of “retaliatory measures.”,meter-true,"Senate confirms new ambassador to Ukraine; Russia displaying scaled-down ambition, U.S. says","May 18, 2022 at 10:00 AM GMT+5:30"
533,"Sweden signed an application to join NATO, and Finland's Parliament voted to apply. Explosions rocked the Lviv region.",meter-true,Ukraine abandons defense of besieged steel plant,"May 17, 2022 at 10:38 AM GMT+5:30"
534,"Even as Russia secured a victory in Mariupol, it suffered another setback on the global stage, as Sweden ended 200 years of military nonalignment to join Finland in applying for NATO membership.",meter-true,Evacuation of Ukrainian soldiers underway at Mariupol steel plant,"May 16, 2022 at 10:52 AM GMT+5:30"
535,"Swedish Prime Minister Magdalena Andersson said Sunday that Russia’s invasion of Ukraine has undermined “the European security order.""",meter-true,"Sweden, Finland move toward NATO membership","May 15, 2022 at 10:39 AM GMT+5:30"
536,"Ukraine has entered a “new, long phase of the war,” while its troops have pushed Russian forces closer to the northern border.",meter-true,McConnell leads GOP visit to Kyiv; Mariupol rescue talks ‘difficult’,"May 14, 2022 at 10:05 AM GMT+5:30"
537,"Swedish Foreign Minister Ann Linde said NATO membership would ""have a conflict-preventing effect in Northern Europe.""",meter-true,Turkey’s Erdogan voices skepticism on Sweden and Finland joining NATO,"May 13, 2022 at 7:56 PM GMT+5:30"
538,Secretary of State Antony Blinken will travel to Germany on Saturday to meet with NATO foreign ministers and top diplomats of Finland and Sweden.,meter-true,"U.S. seeks clarity after Turkey signals opposition to Sweden, Finland joining NATO","May 13, 2022 at 10:36 AM GMT+5:30"
539,Finnish President Sauli Niinisto and Prime Minister Sanna Marin took the first step toward a formal NATO application.,meter-true,Russia responds to Finland’s NATO plan with threats of retaliation,"May 12, 2022 at 10:27 AM GMT+5:30"
540,Comments by political and military leaders suggest the goal is no longer to drive Russia to the negotiating table but to seek a total defeat of Russian forces. That increases the odds of catastrophe.,meter-true,Perspective | The U.S. is expanding its goals in Ukraine. That’s dangerous.,"May 11, 2022 at 7:45 PM GMT+5:30"
541,The Senate is expected to vote in the coming days on an aid package for Ukraine that the House overwhelmingly approved Tuesday night.,meter-true,Finland’s president to address NATO membership; E.U. fails to agree on Russian oil embargo,"May 11, 2022 at 10:20 AM GMT+5:30"
542,"From Ukraine’s northeastern city of Kharkiv to its port of Mariupol in the south, Monday will be a day of dread.",meter-true,"As Russia marks annual Victory Day, Ukrainians scarred by war reject defeat","May 11, 2022 at 12:48 AM GMT+5:30"
543,"About 1,000 fighters are still holed up at Mariupol's Azovstal steel plant. Biden signed a bill expediting military aid.",meter-true,Putin prepared for ‘prolonged conflict’; House approves nearly $40 billion in aid,"May 10, 2022 at 10:48 AM GMT+5:30"
544,"Russia's president spoke from Moscow's Red Square. Fighting continues in Mariupol, Odessa and Kherson. ",meter-true,Victory Day unfolds quietly in Ukraine as Putin defends invasion,"May 09, 2022 at 10:10 AM GMT+5:30"
545,"Along the eastern front line, Russian and Ukrainian forces traded blows and territory before Moscow’s planned Victory Day holiday.",meter-true,G-7 leaders vow to phase out Russian oil; Jill Biden visits Ukraine ,"May 08, 2022 at 10:05 AM GMT+5:30"
546,"First lady Jill Biden, who is in Romania as part of a four-day trip to Eastern Europe, met Ukrainian refugee students and their mothers Saturday at a school in Bucharest. ",meter-true,"Women, children, elderly exit besieged Ukrainian steel plant","May 07, 2022 at 10:00 AM GMT+5:30"
547,"The Russian holiday might come with increased missile strikes, local leaders warned. Meantime, the ‘next stage’ of the Mariupol is evacuation underway and Hungary is resisting the E.U.'s oil ban.",meter-true,Zelensky spells out his vision of victory amid caution ahead of Russian holiday,"May 06, 2022 at 10:25 AM GMT+5:30"
548,Russia ramps up attacks on Ukraine's infrastructure as Mariupol officials lose contact with remaining troops at the Azovstal steel plant. ,meter-true,Another rescue effort underway in Mariupol; U.S. intel helped Ukraine sink warship,"May 05, 2022 at 10:03 AM GMT+5:30"
549,Ukrainian officials say debris is being cleared as Russians plan to turn Mariupol into the center of “celebrations” for Victory Day on May 9.,meter-true,Ukrainian officials raise warnings about Russia’s Victory Day as heavy fighting continues in east,"May 04, 2022 at 9:45 AM GMT+5:30"
550,"The evacuations from the Azovstal steel plant come as Moscow reportedly prepares to annex Ukrainian territory, including Donetsk, Luhansk and Kherson.",meter-true,"Russia steps up attacks on Ukraine’s railways, power stations","May 03, 2022 at 9:45 AM GMT+5:30"
551,Israel demanded an apology from the Russian government for employing a discredited antisemitic trope.,meter-true,Israel wants apology after Russia’s Lavrov compares Zelensky to Hitler ,"May 02, 2022 at 5:28 PM GMT+5:30"
552,Putin won’t find it easy to mobilize Russia for war.,meter-true,Opinion | Ukraine can win. Don’t let Putin scare us.,"May 02, 2022 at 4:30 PM GMT+5:30"
553,U.S. diplomats will resume limited activities in Lviv. Nancy Pelosi meets the Polish president. Jill Biden to travel to Romania and Slovakia.,meter-true,U.S. warns Russia may annex more Ukrainian territory ,"May 02, 2022 at 10:35 AM GMT+5:30"
554,About 10 percent of the tech workforce is projected to leave Russia before the end of May.,meter-true,Mass flight of tech workers turns Russian IT into another casualty of war,"May 01, 2022 at 4:30 PM GMT+5:30"
555,House Speaker Nancy Pelosi is the highest-ranking U.S. leader to visit Ukraine since the Russian invasion. ,meter-true,"Pelosi, in surprise Kyiv trip, vows U.S. support ‘until the fight is done’","May 01, 2022 at 2:28 PM GMT+5:30"
556,"Russian-occupied Kherson faces new restrictions, and fighting continues in Kharkiv.",meter-true,Mariupol evacuation push resumes; Pelosi met Zelensky in Kyiv,"May 01, 2022 at 10:24 AM GMT+5:30"
557,"To actually enable Ukraine to go on the counteroffensive, it will need even more support. ",meter-true,Opinion | Defeating Putin will require larger U.S. commitments — and risks,"April 30, 2022 at 5:30 PM GMT+5:30"
558,"Ukrainian leaders have been warning for weeks that up to 1,000 civilians were still at the besieged site and growing short on food and water.",meter-true,Civilian evacuations begin at Mariupol steel plant as images reveal ruins,"April 30, 2022 at 9:45 AM GMT+5:30"
559,Images of resilience and loss from the front.,meter-true,Perspective | How the war spread through Ukraine,"April 29, 2022 at 11:30 PM GMT+5:30"
560,"Willy Joseph Cancel, a 22-year-old American citizen and U.S. Marine veteran fighting in Ukraine, was killed during the Russian invasion this week, according to his family. ",meter-true,Russian forces face strong resistance amid stark reminders of war’s toll,"April 29, 2022 at 9:45 AM GMT+5:30"
561,Ukraine's neighbor faces an imperial Russian challenge that is strikingly familiar. ,meter-true,Opinion | Russian aggression may have a new target,"April 28, 2022 at 11:34 PM GMT+5:30"
562,Weakening aggressive authoritarian states is exactly what the U.S. should be doing. ,meter-true,Opinion | Lloyd Austin is right. Russia must be weakened. ,"April 28, 2022 at 5:15 PM GMT+5:30"
563, Ukrainian officials denounced a brazen attack on the capital city the same day a United Nations leader visited.,meter-true,Missiles hit Kyiv on day of U.N. leader’s visit,"April 28, 2022 at 9:45 AM GMT+5:30"
564,The only way to deal with the expectations Mr. Scholz raised on Feb. 27 is to meet them.,meter-true,Opinion | Germany must keep its promise of a new foreign and defense policy,"April 27, 2022 at 11:36 PM GMT+5:30"
565,"The Kremlin’s move to cut off natural gas shipments to Bulgaria and Poland was a blow to the E.U. Ukraine calls reports of explosions in Russia ""karma.""",meter-true,Moscow cuts gas supply to some E.U. states; explosions reported in Russia,"April 27, 2022 at 9:45 AM GMT+5:30"
566,The details of alleged rapes by Russian soldiers are emerging from formerly occupied areas,meter-true,"Perspective | Rape is a war crime, and Ukrainian women are sharing their stories","April 26, 2022 at 4:30 PM GMT+5:30"
567,"Meeting in Germany with officials from more than 40 countries, the United States’ top defense officials made an urgent case for sending more weapons to Ukraine.",meter-true,"No time to waste with aid, U.S. defense secretary says","April 26, 2022 at 9:45 AM GMT+5:30"
568,An indictment would represent a landmark moment to hold senior officials accountable.,meter-true,U.S. looks to assist war crimes prosecutions targeting Russian leaders,"April 26, 2022 at 2:30 AM GMT+5:30"
569,American officials say they are rushing equipment to Ukraine and resuming diplomatic activity in the country.,meter-true,"U.S. wants Russia ‘weakened,' sees critical phase in east","April 25, 2022 at 10:30 AM GMT+5:30"
570,Ukrainian President Volodymyr Zelensky said top U.S. officials “should not come here with empty hands.” ,meter-true,Blinken and Austin meet with Zelensky in Kyiv,"April 24, 2022 at 10:26 AM GMT+5:30"
571,"“Well, this only confirms what I have said many times: The Russian invasion of Ukraine was intended only as a beginning, then they want to capture other countries,"" Ukrainian President Volodymyr Zelensky responded Friday night.",meter-true,"Russia seeks ‘control’ of southern Ukraine and path to Moldova, commander says","April 22, 2022 at 9:45 AM GMT+5:30"
572,Some wineries have halted production and pivoted to supporting the refugees and Ukrainian fighters while others contemplate finding other markets amidst war-disrupted supply chain issues.,meter-true,Eastern European wineries in turmoil as war rages in Ukraine,"April 21, 2022 at 10:30 PM GMT+5:30"
573,"Ukraine's Zelensky said Russia ""so far” rebuffed attempts to evacuate civilians from Mariupol's Azovstal steel plant.
",meter-true,Mass grave seen near Mariupol as Biden announces more aid for ‘critical window’ of war,"April 21, 2022 at 9:49 AM GMT+5:30"
574,Aiden Aslin had been fighting alongside Ukrainian forces defending the port city of Mariupol.,meter-true,U.K. asks Russia to treat British detainee with ‘care and compassion’,"April 20, 2022 at 10:33 PM GMT+5:30"
575,"For days now, Ukraine has rebuffed Russian deadlines to surrender in the southern port city.",meter-true,Zelensky ready to swap prisoners for civilians trapped in Mariupol,"April 20, 2022 at 9:50 AM GMT+5:30"
576,"Ukrainian Jews, fleeing war, have qualified for citizenship in Israel. But thousands of non-Jews have arrived, sparking debate over what refugees are owed.",meter-true,"As Ukrainians flee to Israel, a debate over who is allowed to stay","April 19, 2022 at 5:38 PM GMT+5:30"
577,"Luhansk's regional governor said Kreminna is “under the control” of Russian forces. The Azovstal steel plant in Mariupol came under attack, officials said.",meter-true,"Russia begins ‘battle for Donbas,’ gives Mariupol holdouts new deadline to surrender","April 19, 2022 at 9:50 AM GMT+5:30"
578,The brutality should motivate the West to do anything within its lawful power to stop Russia from achieving its ends.,meter-true,Opinion | The scale of Russian atrocities in Ukraine is staggering,"April 19, 2022 at 3:24 AM GMT+5:30"
579,Patriarch Kirill has angered many in echoing the language Vladimir Putin uses to justify the Ukraine invasion.,meter-true,"Russian Orthodox leader backs war in Ukraine, divides faith","April 18, 2022 at 11:30 AM GMT+5:30"
580,"Moscow has for weeks been amassing troops and supplies in preparation for its renewed assault on the Donbas region, which became the Kremlin’s primary focus after its forces failed to capture Kyiv during the first phase of the invasion. ",meter-true,"Russia’s eastern offensive has begun, Ukraine says, as strikes rock Lviv","April 18, 2022 at 10:30 AM GMT+5:30"
581,"Russian officials warned Sunday that resistance in the port city of Mariupol will be “eliminated,” hours after their dawn deadline for Ukraine to surrender passed without any sign of Kyiv capitulating.",meter-true,No sign of surrender in Mariupol after Russian ultimatum,"April 17, 2022 at 10:42 AM GMT+5:30"
