claim,dateOfPublish
"Pentagon sharply raises its estimate of Chinese nuclear warheads, article with gallery","November 4, 2021"
"Ethiopia government says Tigray forces killed 100 youths in key town, article with video","November 2, 2021"
"Analysis: Sudan's military leaders could face isolation after coup, article with image","November 1, 2021"
"First few tourists visit Libya but security threats remain, article with image","November 1, 2021"
"Don't blame us for Ukraine's use of Turkish drones -Turkish FM, article with image","October 31, 2021"
"Crisis with Lebanon rooted in Hezbollah dominance - Saudi minister, article with image","October 30, 2021"
"Ukraine using Turkish drones in Donbass conflict in self-defence, Zelenskiy says, article with image","October 29, 2021"
"EU top military official voices support for Bosnia's joint armed forces, article with image","October 28, 2021"
"Factbox: The general who led Sudanese coup, article with image","October 26, 2021"
"Factbox: What is happening in Sudan?, article with image","October 25, 2021"
"China strengthens land border protection with new law, article with image","October 24, 2021"
"U.N. plane aborts landing as air strike hits Ethiopia's Tigray, article with image","October 23, 2021"
"Nigerian state to shut camps for people displaced by insurgency, article with image","October 23, 2021"
"Factbox: What is the Lebanese Forces party?, article with gallery","October 22, 2021"
"Outgoing U.N. envoy says Myanmar has spiraled into civil war, article with image","October 22, 2021"
"Libyan PM, foreign powers backs Dec. 24 national election, article with image","October 21, 2021"
"Blinken, on Colombia visit, says human rights accountability critical, article with gallery","October 21, 2021"
"Ethiopia conducts two air strikes on Tigray within hours, war escalates, article with video","October 20, 2021"
"Ethiopian families fleeing fighting describe hunger, rape in Amhara, article with video","October 18, 2021"
"Separatists end blockade of hotel housing conflict monitors in eastern Ukraine, article with gallery","October 18, 2021"
"Explainer: How Hezbollah widens Iran's Middle East reach, article with image","October 15, 2021"
"Deadly shooting rocks Beirut as tensions over blast probe erupt, article with video","October 15, 2021"
"Deadly shooting rocks Beirut as tensions over blast probe erupt, article with video","October 15, 2021"
"Explainer: What's happening in Lebanon, article with image","October 15, 2021"
"In Libyan city, mass graves evoke stakes of faltering peace push, article with gallery","October 14, 2021"
"Tension over Beirut blast probe tips Lebanon into new crisis, article with gallery","October 13, 2021"
"How Libya's shaky peace push has unfolded, article with image","October 13, 2021"
"Battle-hardened Taliban fighters enjoy a day off at amusement park, article with gallery","October 10, 2021"
"Taiwan does not seek military confrontation, says president, article with video","October 8, 2021"
"Colombia deploys 14,000-strong military unit in restive border region, article with gallery","October 7, 2021"
"New European taskforce takes on Mali's elusive militants, article with video","October 6, 2021"
"Gunfire disrupts Cameroon prime minister's visit to separatist region, article with image","October 6, 2021"
"Libya's warring sides, including Russian mercenaries, may be guilty of crimes - UN, article with gallery","October 4, 2021"
"EXCLUSIVE Some 1,900 Colombian guerrillas operating from Venezuela, says Colombia military chief, article with gallery","October 1, 2021"
"Guatemala suspends search for remains of indigenous children killed in war-era massacre, article with gallery","October 1, 2021"
"Search for remains of indigenous children killed in Guatemala massacre blocked by residents, article with video","September 29, 2021"
"Iraqis to vote in ballot marked by growing social and political fractures, article with gallery","September 28, 2021"
"Guatemala to search for bodies of Indigenous children believed killed in civil war massacre, article with image","September 28, 2021"
"Israeli PM says Iran has crossed nuclear 'red lines'; Tehran calls it 'full of lies', article with gallery","September 28, 2021"
"Gunmen kill 22 Nigerian security personnel, says state lawmaker, article with image","September 27, 2021"
"Libya's presidency seeks consensus on election law, article with image","September 26, 2021"
"UN commissioner urges international effort on Myanmar 'before it is too late', article with gallery","September 23, 2021"
"Gay war veteran speaks out for equal rights in Ukraine's military, article with gallery","September 17, 2021"
"Factbox: What is Lebanon's Hezbollah?, article with image","September 16, 2021"
"Killings of Colombia environmental activists hit record, NGO says, despite gov't promises, article with gallery","September 14, 2021"
"N.Korea tests first 'strategic' cruise missile with possible nuclear capability, article with video","September 13, 2021"
"Abimael Guzman, founder of Peruvian rebel group Shining Path, dies at 86, article with video","September 12, 2021"
"Myanmar urged to avoid violence after junta opponents declare revolt, article with gallery","September 8, 2021"
"Analysis: S.Korea blazes new path with 'most potent' conventional missile submarine, article with image","September 8, 2021"
"Taliban sources say last Afghan holdout region falls; resistance denies claim, article with video","September 4, 2021"
"The day the music died: Afghanistan's all-female orchestra falls silent, article with video","September 3, 2021"
"Worst Tripoli fighting in a year shows limits of Libya peace push, article with image","September 3, 2021"
"Rebels hold out in Afghan valley as Taliban set up government in Kabul, article with video","September 3, 2021"
"Guns, drugs, jobs. In these Venezuelan towns, Colombian rebels call the shots, article with gallery","September 2, 2021"
"Analysis: Afghanistan pullout spurs EU to revive rapid reaction force, article with image","September 1, 2021"
"Israel bombs Hamas sites in Gaza over fire balloons - military, article with video","August 30, 2021"
"Veteran Afghan strongmen to form new front for negotiating with Taliban, article with gallery","August 29, 2021"
"U.N. chief says social fabric of Ethiopia being torn apart, article with gallery","August 28, 2021"
"Colombia's cemeteries may hold answers for families of disappeared, article with video","August 26, 2021"
"Desperate Nigerians sell homes and land to free kidnapped children, article with video","August 24, 2021"
"Planes, guns, night-vision goggles: The Taliban's new U.S.-made war chest, article with gallery","August 19, 2021"
"Biden and Israeli PM set to discuss Iran strategy at meeting next week, article with gallery","August 19, 2021"
"Biden scrambles to limit damage to credibility from Afghanistan, article with image","August 18, 2021"
"Drones, navies, attack boats: Will they be enough to tackle the world's latest piracy hotspot?, article with video","August 17, 2021"
"Britain asks: Is America back or has it turned its back?, article with gallery","August 16, 2021"
"Profits and poppy: Afghanistan's illegal drug trade a boon for Taliban, article with gallery","August 16, 2021"
"U.S. mobilizes 3,000 troops to Kabul for embassy staff drawdown, article with image","August 13, 2021"
"Ethiopia urges citizens to join armed forces as conflict spreads, article with image","August 11, 2021"
"Yemen's children toil at dangerous work, not school, article with video","August 10, 2021"
"Tigrayan forces take control of Ethiopia's Lalibela, a UN World Heritage Site - eyewitnesses, article with video","August 6, 2021"
"Top paramilitary, guerrilla leaders in Colombia ask forgiveness, article with gallery","August 5, 2021"
"U.S.'s Blinken, Sudan's prime minister discuss Ethiopia's Tigray conflict, article with image","August 4, 2021"
"Eritrean refugees in Ethiopian capital protest insecurity at Tigray camps, article with gallery","July 29, 2021"
"Ukrainian president fires head of the armed forces, citing disputes, article with gallery","July 27, 2021"
"Peru opposition to lead Congress in setback for socialist Castillo, article with image","July 27, 2021"
"Lebanese Sunni tycoon Najib Mikati poised to be designated PM, article with gallery","July 26, 2021"
"Ethiopia's Amhara state rallies youth to fight Tigrayan forces as war widens, article with gallery","July 26, 2021"
"Azerbaijan jails 13 Armenian military personnel for six years -court, article with image","July 23, 2021"
"Analysis: Caught between China and the U.S., Asian countries stockpile powerful new missiles, article with gallery","July 20, 2021"
"Afghanistan on brink of humanitarian crisis-UN refugee agency, article with video","July 13, 2021"
"Why were Colombian ex-soldiers in Haiti? Experts say they are popular mercenaries, article with gallery","July 10, 2021"
"Ahmed Jibril, founder of pro-Syrian Palestinian guerrilla group, buried in Damascus, article with gallery","July 9, 2021"
"Britain has withdrawn nearly all its troops from Afghanistan - PM Johnson, article with video","July 8, 2021"
"Analysis: Myanmar turmoil deepens as clashes spread, article with gallery","July 7, 2021"
"Nigerian lawmakers approve $2.4 billion to fight violence, fund vaccines, article with image","July 7, 2021"
"U.S. extends Temporary Protected Status for Yemeni immigrants, article with image","July 7, 2021"
"Greek economy won't close again because of COVID-19, PM says, article with gallery","July 4, 2021"
"Soccer Divided loyalties: Euros split residents of war-ravaged east Ukraine, article with video","July 2, 2021"
"U.S. adds Turkey to list of countries implicated in use of child soldiers, article with image","July 2, 2021"
"In a first, U.S. warns of dangers of systemic racism in human trafficking report, article with gallery","July 2, 2021"
"Colombia seizes six metric tons of cocaine from ELN rebels, article with video","June 30, 2021"
"Undeclared conflict? America's battles with Iran-backed militia escalate, again, article with video","June 29, 2021"
"Twenty-eight civilians killed in northern Afghan province as fighting intensifies, article with gallery","June 29, 2021"
"Boko Haram fighters pledge to Islamic State in video, worrying observers, article with video","June 28, 2021"
"U.N. says 230,000 displaced by Myanmar fighting, article with image","June 24, 2021"
"Libya's foreign minister sees progress on removal of foreign mercenaries, article with gallery","June 24, 2021"
"Deadly landmine legacy in Tripoli shows stakes of Libya talks, article with gallery","June 24, 2021"
"Dozens of Congo's rebels lay down weapons in the east, article with video","June 23, 2021"
"Officials count ballots after Ethiopia's election, new fighting reported in Tigray, article with gallery","June 23, 2021"
"Explainer: Untangling the crisis in Libya, article with image","June 22, 2021"
"Sudan's PM calls for unified military after tensions surface, article with image","June 22, 2021"
"More than 8,500 children used as soldiers in 2020: U.N., article with gallery","June 22, 2021"
"Libya's Haftar closes border with Algeria, article with gallery","June 20, 2021"
"New joint force to ""crack down on insecurity"" in Sudan, article with gallery","June 18, 2021"
"Roadblocks upend Palestinian family's life in East Jerusalem's Sheikh Jarrah, article with video","June 17, 2021"
"Myanmar militia group halts attacks on troops; Suu Kyi ‘confident’ in court, article with image","June 15, 2021"
"Outsider Khan must steer war crimes court through choppy waters, article with gallery","June 15, 2021"
"NATO adopts tough line on China at Biden’s debut summit with alliance, article with video","June 15, 2021"
"Dance helps Congo’s rape survivors cope with trauma, article with video","June 15, 2021"
"Explainer: Who's who in Israel's new patchwork coalition government, article with video","June 14, 2021"
"Analysis: With Trump gone, NATO wages war on climate threat, article with gallery","June 14, 2021"
"Eying Russia, Pentagon to send Ukraine counter-drone, electronic warfare equipment, article with gallery","June 12, 2021"
"With military victory elusive, W.African nations quietly back talks with Islamists, article with video","June 11, 2021"
"At least 8 killed in Marib blasts, says Yemeni official, article with image","June 11, 2021"
"Congo detains alleged ivory trafficker blamed for killings of park rangers -statement, article with image","June 10, 2021"
"Gunmen kill at least 10 Afghans working for mine-clearing agency, article with video","June 9, 2021"
"Erdogan says Turkey 'neutralised' PKK official in Iraq camp strike, article with image","June 6, 2021"
"Thailand concerned at Myanmar violence, article with image","June 6, 2021"
"Azerbaijan says it forced around 40 Armenian troops to retreat after border incursion, article with image","June 2, 2021"
"Erdogan says Turkey could target refugee camp deep inside Iraq, article with image","June 2, 2021"
"Greece and Turkey aim to smooth differences, leaders to meet, article with gallery","May 31, 2021"
"Greece rejects Turkish minister's comments on Muslim minority, article with gallery","May 31, 2021"
"In Abiy's Ethiopia, press freedom flourished then fear returned, article with gallery","May 28, 2021"
"U.N. launches investigation into whether Israel, Hamas committed crimes, article with video","May 28, 2021"
"Somalia's PM commits to free, fair polls after impasse over elections resolved, article with gallery","May 27, 2021"
"U.S. warns of further action against Ethiopia, Eritrea over Tigray, article with image","May 27, 2021"
"Displaced by Israeli bombs, Gazans camp by rubble of their homes, article with gallery","May 27, 2021"
"U.S., Egypt working closely to reinforce Gaza ceasefire, Blinken says, article with gallery","May 26, 2021"
"Factbox: Who are Syrian President Bashar al-Assad's foes?, article with image","May 26, 2021"
"Myanmar cardinal appeals for fighting to end after fatal church attack, article with image","May 26, 2021"
"Myanmar junta shows first images of Suu Kyi since coup, article with video","May 24, 2021"
"Myanmar junta leader says Suu Kyi will soon appear, article with gallery","May 22, 2021"
"EXCLUSIVE Indonesia's troop surge in Papua aims to 'wipe out' armed rebels: police intel chief, article with image","May 21, 2021"
"Israel and Hamas agree Gaza truce, Biden pledges assistance, article with video","May 20, 2021"
"Silos and saturation salvoes: Gaza rockets bedevil Israel, article with image","May 19, 2021"
"Ex-FARC leader Jesus Santrich killed in Venezuela, dissident group says, article with video","May 18, 2021"
"In Gaza, U.N. classrooms become dormitories as Palestinians flee conflict, article with image","May 18, 2021"
"U.S. Tripoli visit shows increased Libya focus after fighting, article with gallery","May 18, 2021"
"EU - minus Hungary - calls for Israeli-Palestinian ceasefire, article with gallery","May 18, 2021"
"World powers urge truce as Israel-Palestinian conflict rages, article with video","May 18, 2021"
"Israel-Gaza conflict rages on despite U.S., regional diplomacy, article with video","May 17, 2021"
"Jordan's king says diplomacy under way to halt Israel's military campaign, article with image","May 16, 2021"
"Do not give in to evil and division, Pope tells Myanmar community, article with gallery","May 16, 2021"
"Israel air strikes kill 42 Palestinians, rockets fired from Gaza, article with video","May 16, 2021"
"UAE airlines Etihad, flydubai cancel Tel Aviv flights, article with image","May 15, 2021"
"Lebanese man killed by Israeli troops on border, Lebanese agency says, article with gallery","May 14, 2021"
"Armenia says Azerbaijan fails to fully withdraw after border incident, article with gallery","May 14, 2021"
"Israel pounds Gaza to curb Palestinian militants but rockets still fly, article with video","May 14, 2021"
"ICC prosecutor warns against crimes in escalating Israeli-Palestinian violence, article with gallery","May 13, 2021"
"Gaza conflict intensifies with rocket barrages and air strikes, article with video","May 13, 2021"
"Russia, Ukraine hold military drills, NATO criticises Russian troop build-up, article with video","April 14, 2021"
"Biden administration proceeding with $23 billion weapon sales to UAE, article with gallery","April 14, 2021"
"Countdown to ‘catastrophe:’ Inside Europe’s fight for COVID shots, article with video","February 5, 2021"
"China sharpens language, warns Taiwan that independence ‘means war’, article with video","January 28, 2021"
